z	dens_1	dens_2	dens_3	dens_moy	se_moy
-75.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-74.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-73.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-72.500000	0.010000	0.010000	0.010000	0.010000	0.000000
-71.500000	0.040000	0.040000	0.030000	0.036667	0.003333
-70.500000	0.090000	0.100000	0.080000	0.090000	0.005774
-69.500000	0.200000	0.220000	0.180000	0.200000	0.011547
-68.500000	0.350000	0.390000	0.330000	0.356667	0.017638
-67.500000	0.520000	0.580000	0.520000	0.540000	0.020000
-66.500000	0.690000	0.740000	0.700000	0.710000	0.015275
-65.500000	0.830000	0.860000	0.840000	0.843333	0.008819
-64.500000	0.910000	0.930000	0.930000	0.923333	0.006667
-63.500000	0.950000	0.960000	0.970000	0.960000	0.005774
-62.500000	0.970000	0.980000	0.980000	0.976667	0.003333
-61.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-60.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-59.500000	0.980000	0.980000	0.990000	0.983333	0.003333
-58.500000	0.990000	0.990000	0.980000	0.986667	0.003333
-57.500000	0.990000	0.980000	0.980000	0.983333	0.003333
-56.500000	0.980000	0.990000	0.980000	0.983333	0.003333
-55.500000	0.980000	0.990000	0.980000	0.983333	0.003333
-54.500000	0.990000	0.980000	0.980000	0.983333	0.003333
-53.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-52.500000	0.980000	0.990000	0.980000	0.983333	0.003333
-51.500000	0.990000	0.990000	0.990000	0.990000	0.000000
-50.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-49.500000	0.980000	0.990000	0.980000	0.983333	0.003333
-48.500000	0.990000	0.980000	0.980000	0.983333	0.003333
-47.500000	0.980000	0.990000	0.980000	0.983333	0.003333
-46.500000	0.990000	0.980000	0.980000	0.983333	0.003333
-45.500000	0.980000	0.980000	0.990000	0.983333	0.003333
-44.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-43.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-42.500000	0.980000	0.990000	0.980000	0.983333	0.003333
-41.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-40.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-39.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-38.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-37.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-36.500000	0.980000	0.990000	0.980000	0.983333	0.003333
-35.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-34.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-33.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-32.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-31.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-30.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-29.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-28.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-27.500000	0.970000	0.970000	0.970000	0.970000	0.000000
-26.500000	0.950000	0.950000	0.950000	0.950000	0.000000
-25.500000	0.920000	0.920000	0.920000	0.920000	0.000000
-24.500000	0.870000	0.870000	0.870000	0.870000	0.000000
-23.500000	0.810000	0.800000	0.800000	0.803333	0.003333
-22.500000	0.730000	0.720000	0.730000	0.726667	0.003333
-21.500000	0.650000	0.650000	0.650000	0.650000	0.000000
-20.500000	0.570000	0.570000	0.570000	0.570000	0.000000
-19.500000	0.510000	0.500000	0.510000	0.506667	0.003333
-18.500000	0.450000	0.450000	0.450000	0.450000	0.000000
-17.500000	0.400000	0.390000	0.400000	0.396667	0.003333
-16.500000	0.330000	0.320000	0.330000	0.326667	0.003333
-15.500000	0.250000	0.250000	0.250000	0.250000	0.000000
-14.500000	0.170000	0.170000	0.170000	0.170000	0.000000
-13.500000	0.110000	0.100000	0.100000	0.103333	0.003333
-12.500000	0.060000	0.050000	0.050000	0.053333	0.003333
-11.500000	0.030000	0.020000	0.020000	0.023333	0.003333
-10.500000	0.010000	0.010000	0.010000	0.010000	0.000000
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000	0.000000	0.000000
10.500000	0.010000	0.010000	0.010000	0.010000	0.000000
11.500000	0.020000	0.020000	0.020000	0.020000	0.000000
12.500000	0.060000	0.050000	0.050000	0.053333	0.003333
13.500000	0.110000	0.100000	0.110000	0.106667	0.003333
14.500000	0.180000	0.170000	0.180000	0.176667	0.003333
15.500000	0.250000	0.250000	0.250000	0.250000	0.000000
16.500000	0.330000	0.320000	0.330000	0.326667	0.003333
17.500000	0.400000	0.390000	0.400000	0.396667	0.003333
18.500000	0.450000	0.450000	0.450000	0.450000	0.000000
19.500000	0.510000	0.500000	0.510000	0.506667	0.003333
20.500000	0.570000	0.570000	0.570000	0.570000	0.000000
