z	dens_1	dens_2	dens_3	dens_moy	se_moy
-26.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-25.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-24.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-23.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-22.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-21.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-20.500000	0.010000	0.010000	0.010000	0.010000	0.000000
-19.500000	0.020000	0.020000	0.020000	0.020000	0.000000
-18.500000	0.060000	0.060000	0.060000	0.060000	0.000000
-17.500000	0.130000	0.140000	0.130000	0.133333	0.003333
-16.500000	0.250000	0.250000	0.240000	0.246667	0.003333
-15.500000	0.390000	0.400000	0.390000	0.393333	0.003333
-14.500000	0.540000	0.540000	0.530000	0.536667	0.003333
-13.500000	0.670000	0.660000	0.660000	0.663333	0.003333
-12.500000	0.740000	0.740000	0.740000	0.740000	0.000000
-11.500000	0.780000	0.780000	0.780000	0.780000	0.000000
-10.500000	0.790000	0.800000	0.790000	0.793333	0.003333
-9.500000	0.790000	0.800000	0.800000	0.796667	0.003333
-8.500000	0.790000	0.790000	0.790000	0.790000	0.000000
-7.500000	0.780000	0.780000	0.780000	0.780000	0.000000
-6.500000	0.760000	0.770000	0.760000	0.763333	0.003333
-5.500000	0.740000	0.740000	0.740000	0.740000	0.000000
-4.500000	0.710000	0.710000	0.710000	0.710000	0.000000
-3.500000	0.670000	0.660000	0.670000	0.666667	0.003333
-2.500000	0.620000	0.610000	0.620000	0.616667	0.003333
-1.500000	0.580000	0.570000	0.580000	0.576667	0.003333
-0.500000	0.560000	0.560000	0.560000	0.560000	0.000000
0.500000	0.570000	0.570000	0.580000	0.573333	0.003333
1.500000	0.610000	0.610000	0.610000	0.610000	0.000000
2.500000	0.650000	0.650000	0.650000	0.650000	0.000000
3.500000	0.690000	0.690000	0.690000	0.690000	0.000000
4.500000	0.730000	0.730000	0.730000	0.730000	0.000000
5.500000	0.750000	0.750000	0.750000	0.750000	0.000000
6.500000	0.770000	0.770000	0.770000	0.770000	0.000000
7.500000	0.790000	0.790000	0.790000	0.790000	0.000000
8.500000	0.800000	0.800000	0.800000	0.800000	0.000000
9.500000	0.800000	0.800000	0.790000	0.796667	0.003333
10.500000	0.780000	0.780000	0.780000	0.780000	0.000000
11.500000	0.730000	0.730000	0.730000	0.730000	0.000000
12.500000	0.650000	0.650000	0.650000	0.650000	0.000000
13.500000	0.530000	0.540000	0.530000	0.533333	0.003333
14.500000	0.400000	0.400000	0.390000	0.396667	0.003333
15.500000	0.270000	0.270000	0.260000	0.266667	0.003333
16.500000	0.160000	0.160000	0.150000	0.156667	0.003333
17.500000	0.080000	0.080000	0.080000	0.080000	0.000000
18.500000	0.040000	0.040000	0.030000	0.036667	0.003333
19.500000	0.010000	0.010000	0.010000	0.010000	0.000000
20.500000	0.000000	0.000000	0.000000	0.000000	0.000000
21.500000	0.000000	0.000000	0.000000	0.000000	0.000000
22.500000	0.000000	0.000000	0.000000	0.000000	0.000000
23.500000	0.000000	0.000000	0.000000	0.000000	0.000000
24.500000	0.000000	0.000000	0.000000	0.000000	0.000000
