z	dens_traj1_401-600	dens_traj1_601-800	dens_traj1_801-1000	dens_traj2_401-600	dens_traj2_601-800	dens_traj2_801-1000	dens_traj3_401-600	dens_traj3_601-800	dens_traj3_801-1000	dens_mean	se
-29.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-28.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-27.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-26.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-25.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.020000	0.010000	0.010000	0.011111	0.001111
-24.500000	0.040000	0.040000	0.040000	0.040000	0.040000	0.040000	0.050000	0.040000	0.040000	0.041111	0.001111
-23.500000	0.110000	0.100000	0.100000	0.100000	0.110000	0.100000	0.110000	0.100000	0.090000	0.102222	0.002222
-22.500000	0.210000	0.200000	0.200000	0.200000	0.210000	0.200000	0.210000	0.200000	0.190000	0.202222	0.002222
-21.500000	0.330000	0.310000	0.320000	0.310000	0.320000	0.320000	0.330000	0.320000	0.300000	0.317778	0.003239
-20.500000	0.420000	0.400000	0.410000	0.410000	0.410000	0.420000	0.420000	0.420000	0.400000	0.412222	0.002778
-19.500000	0.430000	0.420000	0.430000	0.430000	0.430000	0.440000	0.440000	0.430000	0.430000	0.431111	0.002003
-18.500000	0.360000	0.370000	0.370000	0.370000	0.370000	0.380000	0.370000	0.370000	0.380000	0.371111	0.002003
-17.500000	0.250000	0.270000	0.260000	0.260000	0.260000	0.260000	0.250000	0.250000	0.270000	0.258889	0.002606
-16.500000	0.140000	0.160000	0.150000	0.150000	0.150000	0.140000	0.140000	0.140000	0.150000	0.146667	0.002357
-15.500000	0.060000	0.080000	0.070000	0.070000	0.070000	0.060000	0.060000	0.070000	0.070000	0.067778	0.002222
-14.500000	0.020000	0.030000	0.030000	0.030000	0.030000	0.020000	0.020000	0.030000	0.030000	0.026667	0.001667
-13.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
-12.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-11.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-10.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
14.500000	0.020000	0.020000	0.030000	0.030000	0.030000	0.030000	0.020000	0.030000	0.030000	0.026667	0.001667
15.500000	0.070000	0.070000	0.070000	0.070000	0.070000	0.070000	0.060000	0.070000	0.080000	0.070000	0.001667
16.500000	0.140000	0.150000	0.150000	0.160000	0.150000	0.150000	0.130000	0.150000	0.160000	0.148889	0.003093
17.500000	0.250000	0.270000	0.260000	0.270000	0.260000	0.260000	0.250000	0.260000	0.270000	0.261111	0.002606
18.500000	0.370000	0.380000	0.380000	0.370000	0.360000	0.370000	0.370000	0.360000	0.370000	0.370000	0.002357
19.500000	0.430000	0.440000	0.430000	0.430000	0.430000	0.430000	0.440000	0.430000	0.430000	0.432222	0.001470
20.500000	0.420000	0.410000	0.410000	0.410000	0.410000	0.420000	0.430000	0.410000	0.400000	0.413333	0.002887
21.500000	0.330000	0.310000	0.320000	0.310000	0.330000	0.320000	0.340000	0.320000	0.310000	0.321111	0.003514
22.500000	0.210000	0.190000	0.200000	0.200000	0.210000	0.200000	0.210000	0.210000	0.190000	0.202222	0.002778
23.500000	0.110000	0.090000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.090000	0.098889	0.002003
24.500000	0.040000	0.040000	0.040000	0.040000	0.040000	0.040000	0.040000	0.040000	0.040000	0.040000	0.000000
25.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
26.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
