z	dens_1	dens_2	dens_3	dens_moy	se_moy
-25.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-24.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-23.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-22.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-21.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-20.500000	0.010000	0.010000	0.010000	0.010000	0.000000
-19.500000	0.020000	0.020000	0.020000	0.020000	0.000000
-18.500000	0.040000	0.060000	0.040000	0.046667	0.006667
-17.500000	0.100000	0.130000	0.100000	0.110000	0.010000
-16.500000	0.190000	0.250000	0.190000	0.210000	0.020000
-15.500000	0.320000	0.390000	0.320000	0.343333	0.023333
-14.500000	0.470000	0.540000	0.470000	0.493333	0.023333
-13.500000	0.610000	0.660000	0.610000	0.626667	0.016667
-12.500000	0.710000	0.740000	0.710000	0.720000	0.010000
-11.500000	0.770000	0.780000	0.770000	0.773333	0.003333
-10.500000	0.790000	0.800000	0.790000	0.793333	0.003333
-9.500000	0.800000	0.800000	0.800000	0.800000	0.000000
-8.500000	0.790000	0.790000	0.790000	0.790000	0.000000
-7.500000	0.780000	0.780000	0.780000	0.780000	0.000000
-6.500000	0.770000	0.760000	0.770000	0.766667	0.003333
-5.500000	0.750000	0.740000	0.750000	0.746667	0.003333
-4.500000	0.720000	0.710000	0.720000	0.716667	0.003333
-3.500000	0.680000	0.660000	0.680000	0.673333	0.006667
-2.500000	0.630000	0.610000	0.630000	0.623333	0.006667
-1.500000	0.580000	0.570000	0.580000	0.576667	0.003333
-0.500000	0.550000	0.560000	0.550000	0.553333	0.003333
0.500000	0.550000	0.570000	0.550000	0.556667	0.006667
1.500000	0.580000	0.600000	0.580000	0.586667	0.006667
2.500000	0.630000	0.650000	0.630000	0.636667	0.006667
3.500000	0.680000	0.690000	0.680000	0.683333	0.003333
4.500000	0.720000	0.720000	0.720000	0.720000	0.000000
5.500000	0.750000	0.750000	0.750000	0.750000	0.000000
6.500000	0.770000	0.770000	0.770000	0.770000	0.000000
7.500000	0.780000	0.790000	0.780000	0.783333	0.003333
8.500000	0.790000	0.800000	0.800000	0.796667	0.003333
9.500000	0.800000	0.800000	0.800000	0.800000	0.000000
10.500000	0.790000	0.780000	0.790000	0.786667	0.003333
11.500000	0.770000	0.730000	0.770000	0.756667	0.013333
12.500000	0.710000	0.650000	0.710000	0.690000	0.020000
13.500000	0.610000	0.530000	0.600000	0.580000	0.025166
14.500000	0.470000	0.400000	0.470000	0.446667	0.023333
15.500000	0.320000	0.260000	0.320000	0.300000	0.020000
16.500000	0.190000	0.160000	0.190000	0.180000	0.010000
17.500000	0.100000	0.080000	0.100000	0.093333	0.006667
18.500000	0.040000	0.040000	0.040000	0.040000	0.000000
19.500000	0.020000	0.010000	0.020000	0.016667	0.003333
20.500000	0.010000	0.000000	0.010000	0.006667	0.003333
21.500000	0.000000	0.000000	0.000000	0.000000	0.000000
22.500000	0.000000	0.000000	0.000000	0.000000	0.000000
23.500000	0.000000	0.000000	0.000000	0.000000	0.000000
24.500000	0.000000	0.000000	0.000000	0.000000	0.000000
25.500000	0.000000	0.000000	0.000000	0.000000	0.000000
