z	dens_1	dens_2	dens_3	dens_moy	se_moy
-72.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-71.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-70.500000	0.010000	0.010000	0.020000	0.013333	0.003333
-69.500000	0.050000	0.040000	0.050000	0.046667	0.003333
-68.500000	0.130000	0.110000	0.120000	0.120000	0.005774
-67.500000	0.290000	0.250000	0.250000	0.263333	0.013333
-66.500000	0.480000	0.450000	0.450000	0.460000	0.010000
-65.500000	0.680000	0.670000	0.650000	0.666667	0.008819
-64.500000	0.840000	0.830000	0.820000	0.830000	0.005774
-63.500000	0.940000	0.930000	0.930000	0.933333	0.003333
-62.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-61.500000	1.000000	0.990000	1.000000	0.996667	0.003333
-60.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-59.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-58.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-57.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-56.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-55.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-54.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-53.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-52.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-51.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-50.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-49.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-48.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-47.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-46.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-45.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-44.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-43.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-42.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-41.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-40.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-39.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-38.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-37.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-36.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-35.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-34.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-33.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-32.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-31.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-30.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-29.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-28.500000	0.990000	0.990000	0.990000	0.990000	0.000000
-27.500000	0.980000	0.980000	0.980000	0.980000	0.000000
-26.500000	0.950000	0.950000	0.950000	0.950000	0.000000
-25.500000	0.910000	0.910000	0.910000	0.910000	0.000000
-24.500000	0.850000	0.850000	0.850000	0.850000	0.000000
-23.500000	0.770000	0.780000	0.770000	0.773333	0.003333
-22.500000	0.690000	0.690000	0.690000	0.690000	0.000000
-21.500000	0.610000	0.610000	0.610000	0.610000	0.000000
-20.500000	0.540000	0.540000	0.540000	0.540000	0.000000
-19.500000	0.490000	0.490000	0.490000	0.490000	0.000000
-18.500000	0.430000	0.440000	0.440000	0.436667	0.003333
-17.500000	0.370000	0.370000	0.380000	0.373333	0.003333
-16.500000	0.290000	0.300000	0.300000	0.296667	0.003333
-15.500000	0.210000	0.210000	0.210000	0.210000	0.000000
-14.500000	0.130000	0.130000	0.130000	0.130000	0.000000
-13.500000	0.070000	0.070000	0.070000	0.070000	0.000000
-12.500000	0.030000	0.030000	0.030000	0.030000	0.000000
-11.500000	0.010000	0.010000	0.010000	0.010000	0.000000
-10.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000	0.000000	0.000000
10.500000	0.000000	0.000000	0.000000	0.000000	0.000000
11.500000	0.010000	0.010000	0.010000	0.010000	0.000000
