z	dens_1	dens_2	dens_3	dens_moy	se_moy
-26.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-25.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-24.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-23.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-22.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-21.500000	0.000000	0.000000	0.010000	0.003333	0.003333
-20.500000	0.010000	0.010000	0.030000	0.016667	0.006667
-19.500000	0.020000	0.040000	0.070000	0.043333	0.014530
-18.500000	0.060000	0.090000	0.140000	0.096667	0.023333
-17.500000	0.120000	0.180000	0.240000	0.180000	0.034641
-16.500000	0.230000	0.300000	0.370000	0.300000	0.040415
-15.500000	0.370000	0.450000	0.500000	0.440000	0.037859
-14.500000	0.520000	0.580000	0.620000	0.573333	0.029059
-13.500000	0.650000	0.690000	0.700000	0.680000	0.015275
-12.500000	0.740000	0.750000	0.760000	0.750000	0.005774
-11.500000	0.780000	0.790000	0.780000	0.783333	0.003333
-10.500000	0.800000	0.800000	0.790000	0.796667	0.003333
-9.500000	0.800000	0.800000	0.790000	0.796667	0.003333
-8.500000	0.800000	0.790000	0.790000	0.793333	0.003333
-7.500000	0.790000	0.790000	0.780000	0.786667	0.003333
-6.500000	0.780000	0.770000	0.760000	0.770000	0.005774
-5.500000	0.750000	0.740000	0.730000	0.740000	0.005774
-4.500000	0.720000	0.710000	0.690000	0.706667	0.008819
-3.500000	0.680000	0.660000	0.650000	0.663333	0.008819
-2.500000	0.630000	0.620000	0.620000	0.623333	0.003333
-1.500000	0.590000	0.590000	0.610000	0.596667	0.006667
-0.500000	0.580000	0.590000	0.610000	0.593333	0.008819
0.500000	0.590000	0.610000	0.620000	0.606667	0.008819
1.500000	0.620000	0.640000	0.650000	0.636667	0.008819
2.500000	0.660000	0.680000	0.680000	0.673333	0.006667
3.500000	0.700000	0.710000	0.710000	0.706667	0.003333
4.500000	0.740000	0.740000	0.740000	0.740000	0.000000
5.500000	0.760000	0.760000	0.770000	0.763333	0.003333
6.500000	0.780000	0.780000	0.790000	0.783333	0.003333
7.500000	0.800000	0.800000	0.790000	0.796667	0.003333
8.500000	0.800000	0.800000	0.780000	0.793333	0.006667
9.500000	0.800000	0.780000	0.740000	0.773333	0.017638
10.500000	0.780000	0.740000	0.670000	0.730000	0.032146
11.500000	0.730000	0.670000	0.590000	0.663333	0.040552
12.500000	0.640000	0.560000	0.490000	0.563333	0.043333
13.500000	0.520000	0.450000	0.390000	0.453333	0.037565
14.500000	0.380000	0.330000	0.290000	0.333333	0.026034
15.500000	0.250000	0.220000	0.200000	0.223333	0.014530
16.500000	0.150000	0.130000	0.120000	0.133333	0.008819
17.500000	0.070000	0.070000	0.060000	0.066667	0.003333
18.500000	0.030000	0.030000	0.030000	0.030000	0.000000
19.500000	0.010000	0.010000	0.010000	0.010000	0.000000
20.500000	0.000000	0.000000	0.000000	0.000000	0.000000
21.500000	0.000000	0.000000	0.000000	0.000000	0.000000
