z	dens_1	dens_2	dens_3	dens_moy	se_moy
-24.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-23.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-22.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-21.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-20.500000	0.010000	0.010000	0.000000	0.006667	0.003333
-19.500000	0.020000	0.020000	0.010000	0.016667	0.003333
-18.500000	0.040000	0.040000	0.030000	0.036667	0.003333
-17.500000	0.090000	0.100000	0.060000	0.083333	0.012019
-16.500000	0.180000	0.190000	0.130000	0.166667	0.018559
-15.500000	0.310000	0.320000	0.240000	0.290000	0.025166
-14.500000	0.460000	0.470000	0.380000	0.436667	0.028480
-13.500000	0.600000	0.610000	0.530000	0.580000	0.025166
-12.500000	0.710000	0.720000	0.660000	0.696667	0.018559
-11.500000	0.780000	0.790000	0.750000	0.773333	0.012019
-10.500000	0.820000	0.820000	0.810000	0.816667	0.003333
-9.500000	0.830000	0.830000	0.830000	0.830000	0.000000
-8.500000	0.830000	0.830000	0.830000	0.830000	0.000000
-7.500000	0.830000	0.830000	0.830000	0.830000	0.000000
-6.500000	0.820000	0.820000	0.820000	0.820000	0.000000
-5.500000	0.810000	0.800000	0.810000	0.806667	0.003333
-4.500000	0.780000	0.780000	0.790000	0.783333	0.003333
-3.500000	0.750000	0.750000	0.760000	0.753333	0.003333
-2.500000	0.720000	0.720000	0.730000	0.723333	0.003333
-1.500000	0.690000	0.680000	0.690000	0.686667	0.003333
-0.500000	0.670000	0.670000	0.680000	0.673333	0.003333
0.500000	0.680000	0.680000	0.670000	0.676667	0.003333
1.500000	0.700000	0.700000	0.700000	0.700000	0.000000
2.500000	0.730000	0.730000	0.730000	0.730000	0.000000
3.500000	0.760000	0.760000	0.760000	0.760000	0.000000
4.500000	0.790000	0.790000	0.790000	0.790000	0.000000
5.500000	0.810000	0.810000	0.810000	0.810000	0.000000
6.500000	0.820000	0.820000	0.820000	0.820000	0.000000
7.500000	0.830000	0.830000	0.830000	0.830000	0.000000
8.500000	0.830000	0.830000	0.840000	0.833333	0.003333
9.500000	0.820000	0.820000	0.830000	0.823333	0.003333
10.500000	0.780000	0.780000	0.810000	0.790000	0.010000
11.500000	0.700000	0.710000	0.750000	0.720000	0.015275
12.500000	0.590000	0.600000	0.660000	0.616667	0.021858
13.500000	0.460000	0.460000	0.530000	0.483333	0.023333
14.500000	0.320000	0.330000	0.380000	0.343333	0.018559
15.500000	0.200000	0.210000	0.240000	0.216667	0.012019
16.500000	0.110000	0.120000	0.130000	0.120000	0.005774
17.500000	0.060000	0.060000	0.070000	0.063333	0.003333
18.500000	0.020000	0.030000	0.030000	0.026667	0.003333
19.500000	0.010000	0.010000	0.010000	0.010000	0.000000
20.500000	0.000000	0.000000	0.000000	0.000000	0.000000
21.500000	0.000000	0.000000	0.000000	0.000000	0.000000
22.500000	0.000000	0.000000	0.000000	0.000000	0.000000
23.500000	0.000000	0.000000	0.000000	0.000000	0.000000
