Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.221000	0.223000	0.221000	0.221667	0.000667
3	0.172000	0.169000	0.169000	0.170000	0.001000
4	0.204000	0.201000	0.201000	0.202000	0.001000
5	0.204000	0.200000	0.201000	0.201667	0.001202
6	0.216000	0.212000	0.213000	0.213667	0.001202
7	0.207000	0.201000	0.203000	0.203667	0.001764
8	0.206000	0.200000	0.201000	0.202333	0.001856
9	0.190000	0.182000	0.185000	0.185667	0.002333
10	0.182000	0.175000	0.177000	0.178000	0.002082
11	0.162000	0.156000	0.158000	0.158667	0.001764
12	0.150000	0.144000	0.146000	0.146667	0.001764
13	0.128000	0.124000	0.126000	0.126000	0.001155
14	0.112000	0.108000	0.110000	0.110000	0.001155
15	0.084000	0.081000	0.083000	0.082667	0.000882
16	0.028000	0.027000	0.028000	0.027667	0.000333
