Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.090000	0.090000	0.091000	0.090333	0.000333
3	0.203000	0.203000	0.206000	0.204000	0.001000
4	0.200000	0.200000	0.202000	0.200667	0.000667
5	0.209000	0.209000	0.211000	0.209667	0.000667
6	0.186000	0.186000	0.187000	0.186333	0.000333
7	0.177000	0.176000	0.178000	0.177000	0.000577
8	0.102000	0.103000	0.103000	0.102667	0.000333
9	0.057000	0.059000	0.059000	0.058333	0.000667
10	0.047000	0.046000	0.047000	0.046667	0.000333
11	0.077000	0.076000	0.075000	0.076000	0.000577
12	0.117000	0.117000	0.116000	0.116667	0.000333
13	0.122000	0.124000	0.122000	0.122667	0.000667
14	0.126000	0.128000	0.125000	0.126333	0.000882
15	0.114000	0.116000	0.113000	0.114333	0.000882
16	0.104000	0.105000	0.102000	0.103667	0.000882
17	0.081000	0.081000	0.080000	0.080667	0.000333
18	0.027000	0.027000	0.027000	0.027000	0.000000
