Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.091000	0.091000	0.095000	0.087000	0.087000	0.088000	0.092000	0.086000	0.091000	0.089778	0.000983
3	0.203000	0.204000	0.206000	0.202000	0.201000	0.202000	0.203000	0.202000	0.202000	0.202778	0.000494
4	0.200000	0.200000	0.202000	0.199000	0.199000	0.200000	0.200000	0.199000	0.197000	0.199556	0.000444
5	0.210000	0.209000	0.212000	0.209000	0.209000	0.211000	0.210000	0.208000	0.207000	0.209444	0.000503
6	0.187000	0.187000	0.189000	0.185000	0.187000	0.188000	0.188000	0.185000	0.185000	0.186778	0.000494
7	0.178000	0.178000	0.180000	0.177000	0.179000	0.180000	0.179000	0.177000	0.176000	0.178222	0.000465
8	0.104000	0.102000	0.105000	0.101000	0.104000	0.102000	0.102000	0.100000	0.103000	0.102556	0.000530
9	0.062000	0.058000	0.062000	0.057000	0.060000	0.057000	0.060000	0.056000	0.058000	0.058889	0.000735
10	0.049000	0.053000	0.049000	0.053000	0.050000	0.048000	0.049000	0.051000	0.046000	0.049778	0.000760
11	0.076000	0.082000	0.079000	0.081000	0.077000	0.079000	0.076000	0.078000	0.076000	0.078222	0.000741
12	0.116000	0.123000	0.121000	0.122000	0.118000	0.120000	0.117000	0.119000	0.116000	0.119111	0.000857
13	0.120000	0.128000	0.127000	0.127000	0.124000	0.125000	0.122000	0.125000	0.121000	0.124333	0.000943
14	0.123000	0.132000	0.130000	0.130000	0.127000	0.129000	0.127000	0.129000	0.125000	0.128000	0.000928
15	0.110000	0.119000	0.117000	0.117000	0.114000	0.115000	0.114000	0.117000	0.111000	0.114889	0.000992
16	0.100000	0.107000	0.105000	0.106000	0.103000	0.103000	0.103000	0.105000	0.101000	0.103667	0.000764
17	0.077000	0.083000	0.080000	0.081000	0.079000	0.079000	0.078000	0.081000	0.077000	0.079444	0.000669
18	0.026000	0.028000	0.027000	0.027000	0.027000	0.026000	0.026000	0.027000	0.025000	0.026556	0.000294
