Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.217000	0.221000	0.225000	0.221000	0.002309
3	0.171000	0.172000	0.175000	0.172667	0.001202
4	0.197000	0.199000	0.202000	0.199333	0.001453
5	0.192000	0.193000	0.197000	0.194000	0.001528
6	0.198000	0.200000	0.204000	0.200667	0.001764
7	0.183000	0.186000	0.190000	0.186333	0.002028
8	0.179000	0.182000	0.186000	0.182333	0.002028
9	0.161000	0.164000	0.168000	0.164333	0.002028
10	0.152000	0.155000	0.159000	0.155333	0.002028
11	0.134000	0.137000	0.140000	0.137000	0.001732
12	0.124000	0.127000	0.129000	0.126667	0.001453
13	0.106000	0.109000	0.112000	0.109000	0.001732
14	0.093000	0.096000	0.098000	0.095667	0.001453
15	0.072000	0.073000	0.074000	0.073000	0.000577
16	0.024000	0.025000	0.026000	0.025000	0.000577
