Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.221000	0.221000	0.220667	0.000333
3	0.171000	0.171000	0.171000	0.171000	0.000000
4	0.203000	0.202000	0.203000	0.202667	0.000333
5	0.203000	0.202000	0.202000	0.202333	0.000333
6	0.215000	0.213000	0.214000	0.214000	0.000577
7	0.204000	0.203000	0.204000	0.203667	0.000333
8	0.202000	0.202000	0.202000	0.202000	0.000000
9	0.185000	0.185000	0.186000	0.185333	0.000333
10	0.177000	0.178000	0.178000	0.177667	0.000333
11	0.157000	0.158000	0.158000	0.157667	0.000333
12	0.145000	0.146000	0.147000	0.146000	0.000577
13	0.124000	0.125000	0.126000	0.125000	0.000577
14	0.108000	0.108000	0.110000	0.108667	0.000667
15	0.081000	0.081000	0.083000	0.081667	0.000667
16	0.028000	0.027000	0.028000	0.027667	0.000333
