#section	thickness-1	thickness-2	thickness-3
1	37.43	37.56	40.59
2	37.66	38.06	39.67
3	38.36	37.71	39.61
4	38.13	38.36	39.23
5	37.99	38.74	39.10
6	37.21	38.21	38.40
7	38.04	38.27	38.55
8	37.38	38.12	38.64
9	38.06	38.02	39.40
10	38.16	38.57	39.97
11	37.26	39.41	40.35
12	38.11	38.64	39.70
13	37.99	39.08	39.67
14	39.21	39.18	39.25
15	39.35	38.70	39.53
16	39.26	39.01	39.37
17	39.38	39.50	39.26
18	39.62	39.62	39.24
19	39.67	39.83	38.91
20	39.62	40.20	39.43
21	39.09	39.45	39.39
22	39.58	39.56	38.91
23	39.16	38.99	39.36
24	39.24	39.50	38.70
25	38.48	39.41	38.34
26	38.36	39.02	37.83
27	38.35	39.39	38.02
28	37.83	39.15	37.82
29	37.71	39.63	37.70
30	37.61	39.21	38.02
31	37.64	38.73	37.65
32	37.46	39.82	37.94
33	37.30	40.04	37.14
34	37.96	39.77	36.75
35	38.61	38.99	37.99
36	38.80	39.05	37.62
37	38.44	39.23	38.31
38	38.24	39.18	38.69
39	38.02	38.72	38.28
40	38.29	39.32	38.61
41	38.48	39.03	38.65
42	38.72	39.29	38.54
43	39.06	39.38	37.55
44	38.66	39.24	36.88
45	39.18	38.76	37.11
46	38.69	38.38	37.52
47	39.04	38.77	36.56
48	38.29	38.92	36.58
49	38.16	38.21	36.97
50	39.52	37.77	36.48
51	39.03	37.21	37.83
52	37.99	37.20	37.26
53	37.83	37.45	37.32
54	39.00	37.03	36.66
55	39.00	36.86	37.96
56	39.21	37.47	37.73
57	39.34	37.40	37.24
58	38.46	37.72	37.80
59	39.27	38.05	38.64
60	38.87	37.75	38.99
61	39.89	37.71	38.28
62	39.17	38.34	38.66
63	39.48	38.22	38.88
64	39.36	37.84	38.68
65	39.73	38.30	38.10
66	38.93	38.57	38.76
67	38.18	38.20	38.59
68	39.80	37.94	39.63
69	39.25	38.77	39.64
70	40.16	39.38	38.78
71	39.58	39.03	39.86
72	39.43	39.32	39.47
73	38.97	38.83	39.36
74	39.68	38.52	39.36
75	39.60	38.53	38.44
76	40.25	38.69	37.89
77	39.81	39.51	38.32
78	38.82	38.27	38.72
79	39.08	38.22	38.90
80	38.92	38.78	39.00
81	39.41	38.26	38.78
82	40.12	38.71	38.94
83	40.32	38.54	39.89
84	39.91	38.92	39.84
85	40.13	39.34	38.78
86	39.53	39.10	38.83
87	39.64	38.53	37.75
88	39.21	38.25	37.65
89	38.57	38.39	37.32
90	38.71	38.02	37.75
91	38.36	37.48	37.69
92	38.39	38.60	37.26
93	38.10	38.85	38.29
94	38.35	37.38	38.62
