#section	thickness-1	thickness-2	thickness-3
1	40.09	38.44	39.28
2	39.77	38.54	38.86
3	39.66	38.09	39.59
4	39.77	38.85	39.69
5	39.49	38.43	38.71
6	38.96	38.15	38.42
7	39.60	38.60	38.59
8	39.13	38.80	38.90
9	38.86	39.18	39.37
10	38.89	38.72	38.94
11	38.84	39.56	39.20
12	37.76	39.71	39.20
13	38.07	39.31	39.29
14	38.29	39.39	39.63
15	38.28	39.05	39.29
16	38.39	38.98	39.11
17	38.19	39.10	39.14
18	38.84	38.39	39.85
19	39.19	38.24	39.82
20	39.25	38.57	40.24
21	38.73	38.51	39.90
22	38.70	39.54	40.20
23	39.50	39.07	41.00
24	38.59	39.23	40.21
25	39.78	38.07	39.65
26	39.41	38.48	39.66
27	39.56	38.68	38.36
28	39.34	39.42	38.92
29	39.09	39.33	38.63
30	39.57	38.74	38.59
31	39.41	39.02	37.57
32	39.55	39.83	38.11
33	39.48	38.68	38.21
34	39.21	39.11	37.63
35	39.27	39.38	38.26
36	38.71	39.09	37.85
37	38.99	39.98	38.41
38	38.84	39.84	37.85
39	39.18	39.86	38.95
40	38.93	39.85	38.15
41	39.93	39.36	37.93
42	39.53	39.52	37.79
43	39.23	38.95	37.31
44	38.88	39.63	37.88
45	39.23	39.63	38.12
46	38.85	39.19	38.25
47	39.66	38.75	37.92
48	39.22	38.47	37.78
49	38.67	37.85	38.40
50	38.19	38.77	39.18
51	38.17	38.68	39.18
52	38.50	38.96	39.35
53	39.18	38.66	38.48
54	38.72	38.45	39.28
55	38.43	38.42	39.10
56	38.96	38.44	39.57
57	39.46	39.19	39.58
58	38.89	38.53	39.08
59	39.35	38.94	39.74
60	39.04	38.92	39.19
61	38.74	38.94	39.55
62	38.10	38.52	39.49
63	38.43	38.95	40.07
64	38.32	39.41	39.57
65	38.42	38.63	39.56
66	39.13	39.01	39.49
67	39.97	38.85	39.83
68	38.84	38.19	39.62
69	38.89	38.49	40.18
70	37.47	39.02	39.95
71	38.88	38.26	40.40
72	38.83	38.53	40.71
73	38.15	38.76	41.23
74	37.95	38.11	40.90
75	39.03	38.21	40.49
76	38.39	38.34	40.98
77	38.68	38.45	40.77
78	39.36	39.38	40.05
79	39.26	39.69	40.25
80	39.32	40.18	41.86
81	39.14	39.59	41.29
82	38.94	38.91	40.65
83	38.93	38.83	41.04
84	38.38	38.67	41.36
85	38.89	39.38	41.35
