#section	thickness-1	thickness-2	thickness-3
1	40.06	39.34	42.08
2	39.18	39.07	40.50
3	39.09	39.12	41.65
4	38.71	39.55	41.36
5	38.59	39.19	41.23
6	38.63	40.20	40.60
7	39.07	40.51	41.73
8	38.17	40.26	41.18
9	38.65	40.57	42.02
10	38.52	40.51	41.52
11	37.81	40.67	42.14
12	38.27	40.51	41.57
13	38.18	39.68	40.05
14	39.22	40.48	40.53
15	39.39	40.08	40.83
16	38.91	40.35	40.24
17	38.67	40.99	40.08
18	38.22	40.21	41.01
19	38.17	39.95	40.67
20	38.95	39.68	40.17
21	38.82	39.68	39.85
22	38.85	40.42	39.18
23	40.33	39.92	39.04
24	38.76	39.27	38.92
25	38.80	40.09	39.21
26	39.38	39.77	39.08
27	38.29	39.57	38.98
28	38.14	39.45	39.19
29	38.95	39.81	40.28
30	38.74	39.54	39.55
31	38.89	39.09	39.39
32	38.81	38.95	38.95
33	39.27	39.40	38.92
34	39.13	39.39	39.13
35	39.29	39.39	39.04
36	39.53	39.43	37.95
37	39.60	39.21	39.15
38	39.33	39.45	39.54
39	39.31	39.42	40.19
40	39.78	40.03	39.93
41	39.58	39.90	40.58
42	39.77	38.91	40.42
43	40.12	38.39	39.63
44	39.97	39.68	40.28
45	39.95	39.06	40.74
46	41.54	38.56	39.43
47	40.51	38.81	40.02
48	39.52	38.94	39.63
49	40.49	38.65	39.22
50	40.06	38.25	39.75
51	40.00	39.25	39.64
52	39.98	39.29	39.13
53	40.01	38.97	39.24
54	39.60	38.46	40.51
55	40.48	39.14	40.41
56	39.74	39.69	39.97
57	39.01	40.24	40.50
58	40.20	40.47	40.45
59	41.27	40.45	39.87
60	39.85	40.72	39.78
61	40.59	39.90	40.06
62	40.64	39.76	40.05
63	40.55	39.63	39.49
64	41.12	39.55	40.86
65	40.68	39.51	40.36
66	41.14	38.94	40.62
67	41.17	38.46	40.06
68	41.87	39.48	40.41
69	41.11	39.11	39.38
70	41.12	39.29	39.56
71	41.42	39.38	40.16
72	41.19	39.94	40.56
73	41.07	40.31	40.73
74	41.24	40.64	40.72
75	40.99	41.28	40.65
76	41.76	41.51	41.06
77	41.17	40.86	40.94
78	40.82	41.16	40.31
79	41.55	41.68	40.75
