#section	thickness-1	thickness-2	thickness-3
1	39.19	38.65	37.44
2	39.54	38.71	37.33
3	38.98	38.42	37.73
4	38.67	38.78	36.56
5	38.69	39.07	36.74
6	39.43	39.13	37.46
7	39.25	38.99	37.85
8	39.24	39.22	37.72
9	39.04	38.91	37.00
10	38.64	39.20	37.04
11	38.12	39.16	37.34
12	38.11	39.64	36.21
13	38.44	39.44	37.37
14	37.94	38.69	37.48
15	38.28	39.34	37.05
16	37.51	38.51	36.27
17	38.05	38.39	36.99
18	38.06	38.90	37.67
19	38.05	39.06	37.78
20	38.30	39.13	36.99
21	36.99	38.33	37.02
22	37.89	39.03	37.01
23	37.69	39.34	37.50
24	38.23	38.78	37.13
25	37.62	38.78	37.61
26	37.83	39.23	38.04
27	37.42	38.92	38.09
28	37.72	39.30	38.33
29	37.82	39.44	38.30
30	38.35	39.25	38.28
31	38.31	38.99	38.15
32	38.59	38.73	39.01
33	38.26	37.88	38.90
34	37.90	38.24	38.97
35	37.92	38.56	38.72
36	37.93	39.34	38.64
37	37.74	38.68	38.40
38	37.24	39.38	38.77
39	38.29	37.84	38.66
40	37.40	37.76	38.82
41	38.33	38.12	39.92
42	38.01	38.41	38.83
43	38.00	38.51	38.35
44	38.34	38.60	38.41
45	38.18	37.51	38.31
46	39.14	38.10	39.20
47	38.93	37.16	39.51
48	39.24	37.42	38.85
49	38.86	37.98	38.08
50	39.65	38.14	38.06
51	39.64	38.48	38.20
52	38.99	38.49	38.55
53	38.62	38.98	38.43
54	38.77	38.85	38.30
55	38.13	38.87	37.73
56	37.77	38.08	37.12
57	38.29	39.00	37.91
58	38.71	38.52	37.26
59	38.04	37.68	38.03
60	38.68	38.47	37.25
61	38.54	38.24	37.69
62	37.91	38.18	37.15
63	37.11	37.81	36.92
64	37.67	37.79	37.29
65	38.02	38.54	36.19
66	37.45	37.73	37.13
67	37.47	36.96	36.24
68	37.73	37.19	37.05
69	38.01	37.33	36.98
70	38.31	37.16	37.09
71	37.94	37.17	36.89
72	37.49	37.69	36.93
73	37.56	37.18	36.87
74	37.67	37.07	36.80
75	37.30	37.46	37.17
76	37.51	37.41	36.82
77	37.62	36.70	37.00
78	37.72	37.19	37.30
79	38.64	37.08	37.07
80	38.16	37.14	36.97
81	37.71	38.34	36.59
82	37.55	37.80	37.22
83	37.79	37.12	37.77
84	37.82	37.16	38.22
85	37.42	37.80	38.09
86	36.97	37.92	37.31
87	37.37	37.87	37.88
88	38.13	37.82	37.42
89	37.14	37.82	38.42
90	37.50	37.65	37.42
91	37.37	38.88	38.23
92	38.28	38.46	37.94
93	38.66	38.92	37.82
94	38.72	38.58	37.81
95	38.38	38.40	37.91
96	37.71	38.64	37.65
97	37.39	38.67	37.37
98	38.15	38.30	37.44
99	37.98	38.50	37.22
100	38.18	37.87	36.87
101	37.95	39.01	36.87
102	38.14	38.83	37.14
103	37.98	38.99	37.44
104	37.80	38.47	36.77
105	37.91	38.39	36.67
106	37.86	37.64	36.96
107	37.54	38.44	36.71
108	38.67	38.92	36.67
109	38.30	38.94	37.17
110	38.37	38.51	36.97
111	38.86	37.93	36.91
112	38.41	38.25	37.27
113	38.08	38.45	37.78
114	39.10	38.91	37.78
115	38.87	37.78	37.46
116	38.39	38.14	37.92
117	38.78	37.76	38.08
118	38.63	38.01	37.86
119	38.63	37.69	37.94
120	38.79	37.99	38.80
121	39.42	37.87	38.20
122	39.19	37.86	37.74
123	39.08	38.29	38.25
124	38.98	38.45	37.47
125	39.37	38.83	37.95
126	39.59	38.87	37.99
127	39.22	39.38	37.99
128	39.05	38.97	38.01
129	38.94	38.67	37.31
130	37.87	39.42	37.19
131	37.93	38.57	37.16
132	38.87	38.45	37.50
133	39.28	37.72	37.78
134	38.69	38.37	37.73
135	38.43	38.30	36.59
136	39.05	38.20	37.01
137	38.70	38.52	37.28
138	38.46	39.30	37.33
139	39.07	38.54	37.93
140	37.98	38.83	36.87
141	38.75	39.02	36.04
142	38.85	38.61	36.79
