# PMF for analog 'scc'  (averaged over 3 50 ns blocks: block1, block2, block3)
# columns: |z|(A)   PMF(kcal/mol)   SE(kcal/mol)   n_blocks
# each block PMF folds solute 1 (+z) and mirrored solute 2 (-z) leaflets;
# SE here = std/sqrt(n) across blocks
   0.190     -1.82707      0.05688    3
   0.570     -1.90960      0.04633    3
   0.950     -1.81352      0.05239    3
   1.330     -1.87620      0.04859    3
   1.710     -1.83197      0.06021    3
   2.090     -1.77196      0.05939    3
   2.470     -1.86702      0.05718    3
   2.850     -1.76831      0.04491    3
   3.230     -1.76576      0.04583    3
   3.610     -1.79989      0.03841    3
   3.990     -1.69977      0.04593    3
   4.370     -1.75800      0.03605    3
   4.750     -1.65641      0.03915    3
   5.130     -1.63102      0.04079    3
   5.510     -1.72611      0.04363    3
   5.890     -1.62700      0.04934    3
   6.270     -1.64726      0.04021    3
   6.650     -1.67272      0.03471    3
   7.030     -1.61363      0.04301    3
   7.410     -1.70324      0.03052    3
   7.790     -1.63050      0.03695    3
   8.170     -1.65222      0.03522    3
   8.550     -1.78499      0.03516    3
   8.930     -1.75237      0.03149    3
   9.310     -1.86761      0.03154    3
   9.690     -1.92720      0.03247    3
  10.070     -1.91719      0.03593    3
  10.450     -2.03833      0.04103    3
  10.830     -1.97568      0.04544    3
  11.210     -2.00827      0.04298    3
  11.590     -2.11344      0.03354    3
  11.970     -2.00753      0.04796    3
  12.350     -2.07221      0.04159    3
  12.730     -2.00861      0.04529    3
  13.110     -1.93700      0.02991    3
  13.490     -2.01919      0.01600    3
  13.870     -1.88589      0.00789    3
  14.250     -1.87205      0.01250    3
  14.630     -1.84069      0.03689    3
  15.010     -1.67257      0.04359    3
  15.390     -1.67222      0.05363    3
  15.770     -1.43535      0.05345    3
  16.150     -1.31306      0.05891    3
  16.530     -1.26338      0.07196    3
  16.910     -1.01261      0.07484    3
  17.290     -0.93119      0.08869    3
  17.670     -0.70114      0.10366    3
  18.050     -0.52285      0.10585    3
  18.430     -0.48988      0.11212    3
  18.810     -0.25061      0.12174    3
  19.190     -0.16262      0.11869    3
  19.570     -0.14123      0.10541    3
  19.950      0.05109      0.10049    3
  20.330      0.07144      0.09761    3
  20.710      0.15320      0.08445    3
  21.090      0.23149      0.08878    3
  21.470      0.14451      0.07610    3
  21.850      0.27373      0.06615    3
  22.230      0.25296      0.06465    3
  22.610      0.18684      0.05381    3
  22.990      0.22942      0.04994    3
  23.370      0.11351      0.04960    3
  23.750      0.18894      0.03787    3
  24.130      0.19310      0.04294    3
  24.510      0.08553      0.04232    3
  24.890      0.18303      0.04193    3
  25.270      0.13004      0.04372    3
  25.650      0.04221      0.04767    3
  26.030      0.11065      0.05723    3
  26.410      0.00430      0.04733    3
  26.790      0.08435      0.03428    3
  27.170      0.08276      0.03371    3
  27.550     -0.03520      0.05237    3
  27.930      0.06218      0.05047    3
  28.310      0.01222      0.05003    3
  28.690      0.03300      0.03391    3
  29.070      0.09793      0.03219    3
  29.450      0.00874      0.04095    3
  29.830      0.13644      0.02789    3
  30.210      0.13044      0.02895    3
  30.590      0.02174      0.03165    3
  30.970      0.12264      0.02259    3
  31.350      0.04274      0.02506    3
  31.730      0.07654      0.02745    3
  32.110      0.12375      0.02639    3
  32.490      0.02332      0.02710    3
  32.870      0.15864      0.02567    3
  33.250      0.12840      0.03269    3
  33.630      0.03477      0.02395    3
  34.010      0.12818      0.02728    3
  34.390      0.04387      0.01215    3
  34.770      0.11671      0.01047    3
  35.150      0.14658      0.01145    3
  35.530      0.03172      0.01007    3
  35.910      0.13798      0.00877    3
  36.290      0.08847      0.01242    3
  36.670      0.06675      0.01098    3
  37.050      0.13080      0.01117    3
  37.430      0.04076      0.01632    3
  37.810     -0.17156      0.02607    3
