z_center	theta_center	count	angle_type
-72.042724	1.812323	1	theta2
-72.042724	5.411811	0	theta2
-72.042724	9.011298	1	theta2
-72.042724	12.610786	3	theta2
-72.042724	16.210274	3	theta2
-72.042724	19.809761	5	theta2
-72.042724	23.409249	3	theta2
-72.042724	27.008736	3	theta2
-72.042724	30.608224	9	theta2
-72.042724	34.207712	7	theta2
-72.042724	37.807199	8	theta2
-72.042724	41.406687	8	theta2
-72.042724	45.006175	12	theta2
-72.042724	48.605662	12	theta2
-72.042724	52.205150	7	theta2
-72.042724	55.804637	13	theta2
-72.042724	59.404125	15	theta2
-72.042724	63.003613	22	theta2
-72.042724	66.603100	31	theta2
-72.042724	70.202588	18	theta2
-72.042724	73.802075	25	theta2
-72.042724	77.401563	26	theta2
-72.042724	81.001051	19	theta2
-72.042724	84.600538	33	theta2
-72.042724	88.200026	24	theta2
-72.042724	91.799513	23	theta2
-72.042724	95.399001	21	theta2
-72.042724	98.998489	16	theta2
-72.042724	102.597976	14	theta2
-72.042724	106.197464	8	theta2
-72.042724	109.796951	11	theta2
-72.042724	113.396439	8	theta2
-72.042724	116.995927	8	theta2
-72.042724	120.595414	8	theta2
-72.042724	124.194902	9	theta2
-72.042724	127.794389	2	theta2
-72.042724	131.393877	2	theta2
-72.042724	134.993365	1	theta2
-72.042724	138.592852	2	theta2
-72.042724	142.192340	3	theta2
-72.042724	145.791828	2	theta2
-72.042724	149.391315	2	theta2
-72.042724	152.990803	2	theta2
-72.042724	156.590290	2	theta2
-72.042724	160.189778	2	theta2
-72.042724	163.789266	0	theta2
-72.042724	167.388753	0	theta2
-72.042724	170.988241	0	theta2
-72.042724	174.587728	0	theta2
-72.042724	178.187216	0	theta2
-69.021154	1.812323	7	theta2
-69.021154	5.411811	20	theta2
-69.021154	9.011298	51	theta2
-69.021154	12.610786	67	theta2
-69.021154	16.210274	98	theta2
-69.021154	19.809761	114	theta2
-69.021154	23.409249	125	theta2
-69.021154	27.008736	142	theta2
-69.021154	30.608224	186	theta2
-69.021154	34.207712	186	theta2
-69.021154	37.807199	209	theta2
-69.021154	41.406687	227	theta2
-69.021154	45.006175	274	theta2
-69.021154	48.605662	298	theta2
-69.021154	52.205150	291	theta2
-69.021154	55.804637	337	theta2
-69.021154	59.404125	370	theta2
-69.021154	63.003613	389	theta2
-69.021154	66.603100	472	theta2
-69.021154	70.202588	504	theta2
-69.021154	73.802075	559	theta2
-69.021154	77.401563	563	theta2
-69.021154	81.001051	546	theta2
-69.021154	84.600538	544	theta2
-69.021154	88.200026	498	theta2
-69.021154	91.799513	453	theta2
-69.021154	95.399001	439	theta2
-69.021154	98.998489	393	theta2
-69.021154	102.597976	389	theta2
-69.021154	106.197464	358	theta2
-69.021154	109.796951	318	theta2
-69.021154	113.396439	245	theta2
-69.021154	116.995927	208	theta2
-69.021154	120.595414	191	theta2
-69.021154	124.194902	186	theta2
-69.021154	127.794389	158	theta2
-69.021154	131.393877	162	theta2
-69.021154	134.993365	140	theta2
-69.021154	138.592852	120	theta2
-69.021154	142.192340	100	theta2
-69.021154	145.791828	92	theta2
-69.021154	149.391315	75	theta2
-69.021154	152.990803	57	theta2
-69.021154	156.590290	42	theta2
-69.021154	160.189778	45	theta2
-69.021154	163.789266	32	theta2
-69.021154	167.388753	32	theta2
-69.021154	170.988241	17	theta2
-69.021154	174.587728	10	theta2
-69.021154	178.187216	3	theta2
-65.999583	1.812323	53	theta2
-65.999583	5.411811	180	theta2
-65.999583	9.011298	259	theta2
-65.999583	12.610786	368	theta2
-65.999583	16.210274	447	theta2
-65.999583	19.809761	577	theta2
-65.999583	23.409249	690	theta2
-65.999583	27.008736	785	theta2
-65.999583	30.608224	897	theta2
-65.999583	34.207712	1002	theta2
-65.999583	37.807199	1086	theta2
-65.999583	41.406687	1291	theta2
-65.999583	45.006175	1368	theta2
-65.999583	48.605662	1405	theta2
-65.999583	52.205150	1598	theta2
-65.999583	55.804637	1681	theta2
-65.999583	59.404125	1683	theta2
-65.999583	63.003613	1838	theta2
-65.999583	66.603100	1868	theta2
-65.999583	70.202588	2012	theta2
-65.999583	73.802075	1983	theta2
-65.999583	77.401563	2117	theta2
-65.999583	81.001051	2156	theta2
-65.999583	84.600538	2151	theta2
-65.999583	88.200026	2100	theta2
-65.999583	91.799513	1995	theta2
-65.999583	95.399001	1955	theta2
-65.999583	98.998489	1910	theta2
-65.999583	102.597976	1747	theta2
-65.999583	106.197464	1691	theta2
-65.999583	109.796951	1608	theta2
-65.999583	113.396439	1522	theta2
-65.999583	116.995927	1366	theta2
-65.999583	120.595414	1331	theta2
-65.999583	124.194902	1246	theta2
-65.999583	127.794389	1150	theta2
-65.999583	131.393877	1088	theta2
-65.999583	134.993365	1004	theta2
-65.999583	138.592852	867	theta2
-65.999583	142.192340	762	theta2
-65.999583	145.791828	687	theta2
-65.999583	149.391315	634	theta2
-65.999583	152.990803	504	theta2
-65.999583	156.590290	447	theta2
-65.999583	160.189778	411	theta2
-65.999583	163.789266	296	theta2
-65.999583	167.388753	238	theta2
-65.999583	170.988241	163	theta2
-65.999583	174.587728	120	theta2
