            z         mean           se      std_dev
   -75.500000     0.000001     0.000000     0.000000
   -74.500000     0.000005     0.000002     0.000006
   -73.500000     0.000022     0.000004     0.000012
   -72.500000     0.000110     0.000010     0.000030
   -71.500000     0.000341     0.000032     0.000096
   -70.500000     0.000866     0.000070     0.000210
   -69.500000     0.001940     0.000122     0.000366
   -68.500000     0.003428     0.000171     0.000513
   -67.500000     0.005437     0.000197     0.000591
   -66.500000     0.007376     0.000211     0.000633
   -65.500000     0.008802     0.000179     0.000537
   -64.500000     0.009554     0.000180     0.000540
   -63.500000     0.010073     0.000138     0.000414
   -62.500000     0.010223     0.000151     0.000453
   -61.500000     0.010311     0.000186     0.000558
   -60.500000     0.010349     0.000143     0.000429
   -59.500000     0.010210     0.000144     0.000432
   -58.500000     0.010156     0.000110     0.000330
   -57.500000     0.010150     0.000083     0.000249
   -56.500000     0.010262     0.000102     0.000306
   -55.500000     0.010164     0.000069     0.000207
   -54.500000     0.010091     0.000083     0.000249
   -53.500000     0.010140     0.000082     0.000246
   -52.500000     0.010142     0.000040     0.000120
   -51.500000     0.010078     0.000078     0.000234
   -50.500000     0.010079     0.000068     0.000204
   -49.500000     0.010033     0.000095     0.000285
   -48.500000     0.010033     0.000059     0.000177
   -47.500000     0.010221     0.000062     0.000186
   -46.500000     0.010086     0.000076     0.000228
   -45.500000     0.010060     0.000081     0.000243
   -44.500000     0.010006     0.000080     0.000240
   -43.500000     0.010039     0.000090     0.000270
   -42.500000     0.010107     0.000091     0.000273
   -41.500000     0.010049     0.000109     0.000327
   -40.500000     0.010112     0.000077     0.000231
   -39.500000     0.010106     0.000110     0.000330
   -38.500000     0.010165     0.000169     0.000507
   -37.500000     0.010255     0.000134     0.000402
   -36.500000     0.010266     0.000164     0.000492
   -35.500000     0.010181     0.000145     0.000435
   -34.500000     0.010167     0.000159     0.000477
   -33.500000     0.010130     0.000162     0.000486
   -32.500000     0.010293     0.000142     0.000426
   -31.500000     0.010278     0.000128     0.000384
   -30.500000     0.010125     0.000144     0.000432
   -29.500000     0.010073     0.000172     0.000516
   -28.500000     0.009853     0.000159     0.000477
   -27.500000     0.009533     0.000160     0.000480
   -26.500000     0.008932     0.000160     0.000480
   -25.500000     0.008140     0.000160     0.000480
   -24.500000     0.007183     0.000134     0.000402
   -23.500000     0.006014     0.000114     0.000342
   -22.500000     0.004876     0.000126     0.000378
   -21.500000     0.003897     0.000104     0.000312
