            z         mean           se      std_dev
   -73.500000     0.000000     0.000000     0.000000
   -72.500000     0.000005     0.000002     0.000006
   -71.500000     0.000047     0.000011     0.000033
   -70.500000     0.000189     0.000027     0.000081
   -69.500000     0.000590     0.000066     0.000198
   -68.500000     0.001462     0.000126     0.000378
   -67.500000     0.002955     0.000178     0.000534
   -66.500000     0.004835     0.000200     0.000600
   -65.500000     0.006720     0.000203     0.000609
   -64.500000     0.008032     0.000164     0.000492
   -63.500000     0.008884     0.000126     0.000378
   -62.500000     0.009301     0.000091     0.000273
   -61.500000     0.009414     0.000078     0.000234
   -60.500000     0.009468     0.000101     0.000303
   -59.500000     0.009480     0.000121     0.000363
   -58.500000     0.009554     0.000102     0.000306
   -57.500000     0.009647     0.000103     0.000309
   -56.500000     0.009538     0.000109     0.000327
   -55.500000     0.009577     0.000113     0.000339
   -54.500000     0.009555     0.000110     0.000330
   -53.500000     0.009482     0.000116     0.000348
   -52.500000     0.009530     0.000153     0.000459
   -51.500000     0.009555     0.000146     0.000438
   -50.500000     0.009621     0.000170     0.000510
   -49.500000     0.009442     0.000174     0.000522
   -48.500000     0.009549     0.000160     0.000480
   -47.500000     0.009510     0.000142     0.000426
   -46.500000     0.009497     0.000139     0.000417
   -45.500000     0.009501     0.000136     0.000408
   -44.500000     0.009437     0.000129     0.000387
   -43.500000     0.009406     0.000143     0.000429
   -42.500000     0.009410     0.000148     0.000444
   -41.500000     0.009468     0.000158     0.000474
   -40.500000     0.009512     0.000135     0.000405
   -39.500000     0.009493     0.000139     0.000417
   -38.500000     0.009497     0.000152     0.000456
   -37.500000     0.009427     0.000184     0.000552
   -36.500000     0.009470     0.000154     0.000462
   -35.500000     0.009407     0.000201     0.000603
   -34.500000     0.009498     0.000194     0.000582
   -33.500000     0.009465     0.000192     0.000576
   -32.500000     0.009532     0.000173     0.000519
   -31.500000     0.009591     0.000140     0.000420
   -30.500000     0.009571     0.000180     0.000540
   -29.500000     0.009572     0.000155     0.000465
   -28.500000     0.009339     0.000189     0.000567
   -27.500000     0.009019     0.000174     0.000522
   -26.500000     0.008448     0.000224     0.000672
   -25.500000     0.007685     0.000220     0.000660
   -24.500000     0.006661     0.000174     0.000522
   -23.500000     0.005488     0.000138     0.000414
   -22.500000     0.004369     0.000138     0.000414
   -21.500000     0.003494     0.000136     0.000408
   -20.500000     0.003108     0.000177     0.000531
   -19.500000     0.003385     0.000214     0.000642
   -18.500000     0.004249     0.000250     0.000750
   -17.500000     0.005704     0.000320     0.000960
   -16.500000     0.007614     0.000435     0.001305
   -15.500000     0.009864     0.000593     0.001779
   -14.500000     0.011034     0.000576     0.001728
   -13.500000     0.010873     0.000539     0.001617
   -12.500000     0.009181     0.000521     0.001563
   -11.500000     0.006627     0.000515     0.001545
   -10.500000     0.003988     0.000386     0.001158
    -9.500000     0.001993     0.000248     0.000744
    -8.500000     0.000923     0.000113     0.000339
    -7.500000     0.000393     0.000054     0.000162
    -6.500000     0.000139     0.000024     0.000072
    -5.500000     0.000056     0.000012     0.000036
    -4.500000     0.000034     0.000009     0.000027
    -3.500000     0.000030     0.000010     0.000030
    -2.500000     0.000021     0.000008     0.000024
    -1.500000     0.000021     0.000009     0.000027
    -0.500000     0.000019     0.000008     0.000024
     0.500000     0.000017     0.000009     0.000027
     1.500000     0.000021     0.000009     0.000027
     2.500000     0.000014     0.000007     0.000021
     3.500000     0.000017     0.000007     0.000021
     4.500000     0.000022     0.000008     0.000024
     5.500000     0.000050     0.000014     0.000042
     6.500000     0.000120     0.000030     0.000090
     7.500000     0.000347     0.000066     0.000198
     8.500000     0.000883     0.000130     0.000390
     9.500000     0.001927     0.000185     0.000555
    10.500000     0.003774     0.000253     0.000759
    11.500000     0.006356     0.000339     0.001017
    12.500000     0.009043     0.000447     0.001341
    13.500000     0.010932     0.000571     0.001713
    14.500000     0.011314     0.000566     0.001698
    15.500000     0.009902     0.000588     0.001764
    16.500000     0.007812     0.000538     0.001614
    17.500000     0.005872     0.000394     0.001182
    18.500000     0.004239     0.000281     0.000843
    19.500000     0.003292     0.000217     0.000651
    20.500000     0.003009     0.000121     0.000363
    21.500000     0.003305     0.000102     0.000306
    22.500000     0.004125     0.000095     0.000285
    23.500000     0.005132     0.000134     0.000402
    24.500000     0.006376     0.000155     0.000465
    25.500000     0.007434     0.000188     0.000564
    26.500000     0.008308     0.000184     0.000552
    27.500000     0.008797     0.000188     0.000564
    28.500000     0.009112     0.000237     0.000711
    29.500000     0.009299     0.000228     0.000684
    30.500000     0.009342     0.000192     0.000576
    31.500000     0.009325     0.000168     0.000504
    32.500000     0.009281     0.000188     0.000564
    33.500000     0.009225     0.000123     0.000369
    34.500000     0.009283     0.000181     0.000543
    35.500000     0.009344     0.000191     0.000573
    36.500000     0.009264     0.000161     0.000483
    37.500000     0.009242     0.000171     0.000513
    38.500000     0.009305     0.000209     0.000627
    39.500000     0.009278     0.000165     0.000495
    40.500000     0.009374     0.000176     0.000528
    41.500000     0.009395     0.000184     0.000552
    42.500000     0.009363     0.000166     0.000498
    43.500000     0.009354     0.000183     0.000549
    44.500000     0.009248     0.000171     0.000513
