            z         mean           se      std_dev
   -70.500000     0.000002     0.000002     0.000006
   -69.500000     0.000015     0.000006     0.000018
   -68.500000     0.000028     0.000009     0.000027
   -67.500000     0.000043     0.000010     0.000030
   -66.500000     0.000089     0.000022     0.000066
   -65.500000     0.000102     0.000022     0.000066
   -64.500000     0.000096     0.000020     0.000060
   -63.500000     0.000127     0.000024     0.000072
   -62.500000     0.000131     0.000024     0.000072
   -61.500000     0.000125     0.000020     0.000060
   -60.500000     0.000111     0.000031     0.000093
   -59.500000     0.000121     0.000025     0.000075
   -58.500000     0.000107     0.000027     0.000081
   -57.500000     0.000100     0.000020     0.000060
   -56.500000     0.000117     0.000029     0.000087
   -55.500000     0.000158     0.000036     0.000108
   -54.500000     0.000105     0.000028     0.000084
   -53.500000     0.000115     0.000025     0.000075
   -52.500000     0.000115     0.000021     0.000063
   -51.500000     0.000102     0.000025     0.000075
   -50.500000     0.000090     0.000015     0.000045
   -49.500000     0.000113     0.000018     0.000054
   -48.500000     0.000115     0.000028     0.000084
   -47.500000     0.000100     0.000019     0.000057
   -46.500000     0.000119     0.000024     0.000072
   -45.500000     0.000091     0.000022     0.000066
   -44.500000     0.000096     0.000024     0.000072
   -43.500000     0.000092     0.000022     0.000066
   -42.500000     0.000098     0.000012     0.000036
   -41.500000     0.000109     0.000025     0.000075
   -40.500000     0.000119     0.000019     0.000057
   -39.500000     0.000083     0.000012     0.000036
   -38.500000     0.000093     0.000015     0.000045
   -37.500000     0.000116     0.000014     0.000042
   -36.500000     0.000114     0.000017     0.000051
   -35.500000     0.000103     0.000012     0.000036
   -34.500000     0.000117     0.000022     0.000066
   -33.500000     0.000109     0.000023     0.000069
   -32.500000     0.000091     0.000019     0.000057
   -31.500000     0.000111     0.000021     0.000063
   -30.500000     0.000115     0.000025     0.000075
   -29.500000     0.000114     0.000016     0.000048
   -28.500000     0.000111     0.000025     0.000075
   -27.500000     0.000119     0.000020     0.000060
   -26.500000     0.000105     0.000014     0.000042
   -25.500000     0.000099     0.000018     0.000054
   -24.500000     0.000066     0.000010     0.000030
   -23.500000     0.000040     0.000008     0.000024
   -22.500000     0.000033     0.000009     0.000027
   -21.500000     0.000020     0.000005     0.000015
   -20.500000     0.000043     0.000018     0.000054
   -19.500000     0.000065     0.000016     0.000048
   -18.500000     0.000181     0.000034     0.000102
   -17.500000     0.000492     0.000083     0.000249
   -16.500000     0.001068     0.000110     0.000330
   -15.500000     0.002367     0.000181     0.000543
   -14.500000     0.004437     0.000244     0.000732
   -13.500000     0.007238     0.000265     0.000795
   -12.500000     0.010517     0.000404     0.001212
   -11.500000     0.013319     0.000424     0.001272
   -10.500000     0.016137     0.000590     0.001770
    -9.500000     0.018338     0.000522     0.001566
    -8.500000     0.020576     0.000510     0.001530
    -7.500000     0.024129     0.000464     0.001392
    -6.500000     0.028521     0.000458     0.001374
    -5.500000     0.034759     0.000425     0.001275
    -4.500000     0.043729     0.000320     0.000960
    -3.500000     0.054032     0.000499     0.001497
    -2.500000     0.063711     0.000461     0.001383
    -1.500000     0.071446     0.000545     0.001635
    -0.500000     0.076542     0.000785     0.002355
     0.500000     0.077642     0.000727     0.002181
     1.500000     0.072621     0.000419     0.001257
     2.500000     0.064030     0.000471     0.001413
     3.500000     0.054447     0.000322     0.000966
     4.500000     0.044066     0.000489     0.001467
     5.500000     0.034981     0.000356     0.001068
     6.500000     0.028975     0.000483     0.001449
     7.500000     0.024126     0.000450     0.001350
     8.500000     0.021066     0.000378     0.001134
     9.500000     0.018548     0.000410     0.001230
    10.500000     0.016204     0.000380     0.001140
    11.500000     0.013829     0.000511     0.001533
    12.500000     0.010579     0.000487     0.001461
    13.500000     0.007444     0.000366     0.001098
    14.500000     0.004485     0.000199     0.000597
    15.500000     0.002578     0.000138     0.000414
    16.500000     0.001337     0.000094     0.000282
    17.500000     0.000602     0.000038     0.000114
    18.500000     0.000268     0.000039     0.000117
    19.500000     0.000096     0.000019     0.000057
    20.500000     0.000044     0.000009     0.000027
    21.500000     0.000031     0.000009     0.000027
    22.500000     0.000042     0.000009     0.000027
    23.500000     0.000044     0.000009     0.000027
    24.500000     0.000056     0.000014     0.000042
    25.500000     0.000080     0.000014     0.000042
    26.500000     0.000094     0.000020     0.000060
    27.500000     0.000123     0.000033     0.000099
    28.500000     0.000139     0.000028     0.000084
    29.500000     0.000160     0.000032     0.000096
    30.500000     0.000160     0.000027     0.000081
    31.500000     0.000155     0.000028     0.000084
    32.500000     0.000135     0.000022     0.000066
    33.500000     0.000151     0.000028     0.000084
    34.500000     0.000141     0.000027     0.000081
    35.500000     0.000142     0.000028     0.000084
    36.500000     0.000123     0.000023     0.000069
    37.500000     0.000134     0.000027     0.000081
    38.500000     0.000138     0.000028     0.000084
    39.500000     0.000149     0.000030     0.000090
    40.500000     0.000139     0.000024     0.000072
    41.500000     0.000137     0.000025     0.000075
    42.500000     0.000116     0.000025     0.000075
    43.500000     0.000144     0.000035     0.000105
    44.500000     0.000111     0.000024     0.000072
    45.500000     0.000125     0.000032     0.000096
    46.500000     0.000107     0.000025     0.000075
    47.500000     0.000098     0.000023     0.000069
    48.500000     0.000104     0.000019     0.000057
    49.500000     0.000133     0.000030     0.000090
    50.500000     0.000096     0.000019     0.000057
    51.500000     0.000121     0.000028     0.000084
    52.500000     0.000130     0.000023     0.000069
    53.500000     0.000097     0.000021     0.000063
    54.500000     0.000111     0.000028     0.000084
    55.500000     0.000152     0.000023     0.000069
    56.500000     0.000110     0.000024     0.000072
    57.500000     0.000116     0.000024     0.000072
    58.500000     0.000116     0.000020     0.000060
    59.500000     0.000114     0.000018     0.000054
    60.500000     0.000096     0.000018     0.000054
    61.500000     0.000111     0.000016     0.000048
    62.500000     0.000112     0.000018     0.000054
    63.500000     0.000101     0.000020     0.000060
    64.500000     0.000127     0.000023     0.000069
    65.500000     0.000109     0.000025     0.000075
    66.500000     0.000085     0.000020     0.000060
    67.500000     0.000099     0.000017     0.000051
    68.500000     0.000069     0.000025     0.000075
    69.500000     0.000050     0.000016     0.000048
    70.500000     0.000032     0.000012     0.000036
    71.500000     0.000009     0.000003     0.000009
    72.500000     0.000007     0.000004     0.000012
