           z         mean           se
  -71.500000     0.000001     0.000001
  -70.500000     0.000001     0.000001
  -69.500000     0.000015     0.000005
  -68.500000     0.000039     0.000013
  -67.500000     0.000073     0.000026
  -66.500000     0.000134     0.000038
  -65.500000     0.000191     0.000061
  -64.500000     0.000224     0.000070
  -63.500000     0.000251     0.000076
  -62.500000     0.000242     0.000073
  -61.500000     0.000244     0.000079
  -60.500000     0.000252     0.000079
  -59.500000     0.000267     0.000086
  -58.500000     0.000294     0.000090
  -57.500000     0.000265     0.000088
  -56.500000     0.000257     0.000086
  -55.500000     0.000250     0.000087
  -54.500000     0.000254     0.000089
  -53.500000     0.000237     0.000090
  -52.500000     0.000262     0.000101
  -51.500000     0.000248     0.000097
  -50.500000     0.000244     0.000092
  -49.500000     0.000270     0.000112
  -48.500000     0.000249     0.000094
  -47.500000     0.000250     0.000102
  -46.500000     0.000263     0.000112
  -45.500000     0.000236     0.000100
  -44.500000     0.000259     0.000107
  -43.500000     0.000243     0.000101
  -42.500000     0.000266     0.000108
  -41.500000     0.000289     0.000120
  -40.500000     0.000281     0.000111
  -39.500000     0.000267     0.000107
  -38.500000     0.000268     0.000099
  -37.500000     0.000271     0.000103
  -36.500000     0.000266     0.000098
  -35.500000     0.000276     0.000103
  -34.500000     0.000250     0.000086
  -33.500000     0.000256     0.000090
  -32.500000     0.000265     0.000101
  -31.500000     0.000262     0.000094
  -30.500000     0.000283     0.000100
  -29.500000     0.000269     0.000092
  -28.500000     0.000270     0.000089
  -27.500000     0.000262     0.000086
  -26.500000     0.000239     0.000078
  -25.500000     0.000171     0.000060
  -24.500000     0.000121     0.000038
  -23.500000     0.000094     0.000033
  -22.500000     0.000065     0.000025
  -21.500000     0.000060     0.000016
  -20.500000     0.000087     0.000020
  -19.500000     0.000127     0.000025
  -18.500000     0.000300     0.000037
  -17.500000     0.000721     0.000097
  -16.500000     0.001694     0.000166
  -15.500000     0.003735     0.000222
  -14.500000     0.007117     0.000281
  -13.500000     0.011468     0.000361
  -12.500000     0.016550     0.000466
  -11.500000     0.020384     0.000410
  -10.500000     0.023159     0.000398
   -9.500000     0.024388     0.000479
   -8.500000     0.025195     0.000465
   -7.500000     0.026650     0.000412
   -6.500000     0.028953     0.000406
   -5.500000     0.033710     0.000493
   -4.500000     0.039479     0.000466
   -3.500000     0.047038     0.000585
   -2.500000     0.054219     0.000603
   -1.500000     0.058891     0.000716
   -0.500000     0.061321     0.000643
    0.500000     0.061275     0.000722
    1.500000     0.059244     0.000535
    2.500000     0.054334     0.000561
    3.500000     0.047729     0.000481
    4.500000     0.040747     0.000430
    5.500000     0.034524     0.000508
    6.500000     0.029959     0.000406
    7.500000     0.027417     0.000418
    8.500000     0.025760     0.000476
    9.500000     0.025085     0.000658
   10.500000     0.023662     0.000592
   11.500000     0.021051     0.000515
   12.500000     0.017098     0.000630
   13.500000     0.012135     0.000564
   14.500000     0.007327     0.000433
   15.500000     0.003815     0.000275
   16.500000     0.001712     0.000162
   17.500000     0.000733     0.000088
   18.500000     0.000269     0.000045
   19.500000     0.000103     0.000021
   20.500000     0.000057     0.000011
   21.500000     0.000044     0.000013
   22.500000     0.000050     0.000014
   23.500000     0.000087     0.000029
   24.500000     0.000116     0.000040
   25.500000     0.000139     0.000047
   26.500000     0.000162     0.000054
   27.500000     0.000178     0.000064
   28.500000     0.000191     0.000066
   29.500000     0.000212     0.000074
   30.500000     0.000200     0.000066
   31.500000     0.000198     0.000069
   32.500000     0.000198     0.000068
   33.500000     0.000198     0.000069
   34.500000     0.000202     0.000071
   35.500000     0.000234     0.000079
   36.500000     0.000225     0.000077
   37.500000     0.000221     0.000085
   38.500000     0.000228     0.000084
   39.500000     0.000238     0.000091
   40.500000     0.000226     0.000087
   41.500000     0.000240     0.000094
   42.500000     0.000233     0.000086
   43.500000     0.000223     0.000082
   44.500000     0.000202     0.000073
   45.500000     0.000227     0.000088
   46.500000     0.000232     0.000097
   47.500000     0.000208     0.000091
   48.500000     0.000219     0.000095
   49.500000     0.000227     0.000088
   50.500000     0.000213     0.000082
   51.500000     0.000228     0.000084
   52.500000     0.000219     0.000083
   53.500000     0.000201     0.000077
   54.500000     0.000196     0.000068
   55.500000     0.000208     0.000068
   56.500000     0.000211     0.000072
   57.500000     0.000198     0.000060
   58.500000     0.000205     0.000069
   59.500000     0.000207     0.000066
   60.500000     0.000215     0.000065
   61.500000     0.000188     0.000055
   62.500000     0.000211     0.000069
   63.500000     0.000194     0.000062
   64.500000     0.000198     0.000060
   65.500000     0.000200     0.000062
   66.500000     0.000214     0.000066
   67.500000     0.000203     0.000065
   68.500000     0.000165     0.000053
   69.500000     0.000143     0.000044
   70.500000     0.000075     0.000025
   71.500000     0.000038     0.000013
   72.500000     0.000018     0.000008
   73.500000     0.000005     0.000002
   74.500000     0.000001     0.000001
