            z         mean           se      std_dev
   -64.500000     0.000000     0.000000     0.000000
   -63.500000     0.000001     0.000000     0.000000
   -62.500000     0.000004     0.000002     0.000006
   -61.500000     0.000015     0.000005     0.000015
   -60.500000     0.000029     0.000008     0.000024
   -59.500000     0.000045     0.000010     0.000030
   -58.500000     0.000069     0.000017     0.000051
   -57.500000     0.000084     0.000021     0.000063
   -56.500000     0.000085     0.000019     0.000057
   -55.500000     0.000093     0.000023     0.000069
   -54.500000     0.000097     0.000020     0.000060
   -53.500000     0.000099     0.000018     0.000054
   -52.500000     0.000099     0.000022     0.000066
   -51.500000     0.000110     0.000022     0.000066
   -50.500000     0.000115     0.000027     0.000081
   -49.500000     0.000113     0.000023     0.000069
   -48.500000     0.000110     0.000024     0.000072
   -47.500000     0.000114     0.000026     0.000078
   -46.500000     0.000114     0.000024     0.000072
   -45.500000     0.000107     0.000025     0.000075
   -44.500000     0.000111     0.000023     0.000069
   -43.500000     0.000108     0.000024     0.000072
   -42.500000     0.000103     0.000027     0.000081
   -41.500000     0.000111     0.000028     0.000084
   -40.500000     0.000099     0.000028     0.000084
   -39.500000     0.000104     0.000035     0.000105
   -38.500000     0.000102     0.000030     0.000090
   -37.500000     0.000107     0.000033     0.000099
   -36.500000     0.000115     0.000035     0.000105
   -35.500000     0.000119     0.000035     0.000105
   -34.500000     0.000104     0.000030     0.000090
   -33.500000     0.000110     0.000029     0.000087
   -32.500000     0.000108     0.000031     0.000093
   -31.500000     0.000120     0.000034     0.000102
   -30.500000     0.000132     0.000033     0.000099
   -29.500000     0.000134     0.000035     0.000105
   -28.500000     0.000143     0.000040     0.000120
   -27.500000     0.000192     0.000052     0.000156
   -26.500000     0.000184     0.000044     0.000132
   -25.500000     0.000206     0.000053     0.000159
   -24.500000     0.000243     0.000063     0.000189
   -23.500000     0.000264     0.000070     0.000210
   -22.500000     0.000308     0.000057     0.000171
   -21.500000     0.000458     0.000072     0.000216
   -20.500000     0.000803     0.000105     0.000315
   -19.500000     0.001673     0.000140     0.000420
   -18.500000     0.003652     0.000254     0.000762
   -17.500000     0.008038     0.000415     0.001245
   -16.500000     0.015678     0.000659     0.001977
   -15.500000     0.027437     0.000987     0.002961
   -14.500000     0.042468     0.000983     0.002949
   -13.500000     0.057826     0.001081     0.003243
   -12.500000     0.068399     0.001545     0.004635
   -11.500000     0.070542     0.001828     0.005484
   -10.500000     0.062781     0.001718     0.005154
    -9.500000     0.048680     0.001437     0.004311
    -8.500000     0.033144     0.001232     0.003696
    -7.500000     0.020218     0.001037     0.003111
    -6.500000     0.011516     0.000771     0.002313
    -5.500000     0.006497     0.000504     0.001512
    -4.500000     0.004088     0.000357     0.001071
    -3.500000     0.003003     0.000235     0.000705
    -2.500000     0.002432     0.000157     0.000471
    -1.500000     0.002093     0.000123     0.000369
    -0.500000     0.001979     0.000131     0.000393
     0.500000     0.002110     0.000125     0.000375
     1.500000     0.002227     0.000121     0.000363
     2.500000     0.002426     0.000116     0.000348
     3.500000     0.002883     0.000115     0.000345
     4.500000     0.003922     0.000231     0.000693
     5.500000     0.006226     0.000370     0.001110
     6.500000     0.010987     0.000543     0.001629
     7.500000     0.019369     0.000764     0.002292
     8.500000     0.032042     0.001187     0.003561
     9.500000     0.048043     0.001292     0.003876
    10.500000     0.063793     0.001346     0.004038
    11.500000     0.072659     0.001788     0.005364
    12.500000     0.071276     0.001879     0.005637
    13.500000     0.060384     0.001680     0.005040
    14.500000     0.043663     0.001422     0.004266
    15.500000     0.027318     0.001176     0.003528
    16.500000     0.015508     0.000795     0.002385
    17.500000     0.007838     0.000522     0.001566
    18.500000     0.003607     0.000295     0.000885
    19.500000     0.001606     0.000150     0.000450
    20.500000     0.000717     0.000087     0.000261
    21.500000     0.000367     0.000058     0.000174
    22.500000     0.000238     0.000043     0.000129
    23.500000     0.000185     0.000035     0.000105
    24.500000     0.000132     0.000026     0.000078
    25.500000     0.000098     0.000020     0.000060
    26.500000     0.000081     0.000020     0.000060
    27.500000     0.000061     0.000017     0.000051
    28.500000     0.000059     0.000013     0.000039
    29.500000     0.000054     0.000010     0.000030
    30.500000     0.000040     0.000008     0.000024
    31.500000     0.000046     0.000010     0.000030
    32.500000     0.000040     0.000008     0.000024
    33.500000     0.000047     0.000011     0.000033
    34.500000     0.000039     0.000011     0.000033
    35.500000     0.000042     0.000012     0.000036
    36.500000     0.000042     0.000010     0.000030
    37.500000     0.000043     0.000009     0.000027
    38.500000     0.000042     0.000007     0.000021
    39.500000     0.000046     0.000011     0.000033
    40.500000     0.000051     0.000011     0.000033
    41.500000     0.000050     0.000010     0.000030
    42.500000     0.000049     0.000010     0.000030
    43.500000     0.000049     0.000012     0.000036
    44.500000     0.000052     0.000013     0.000039
    45.500000     0.000051     0.000014     0.000042
    46.500000     0.000054     0.000013     0.000039
    47.500000     0.000051     0.000013     0.000039
    48.500000     0.000051     0.000014     0.000042
    49.500000     0.000052     0.000018     0.000054
    50.500000     0.000056     0.000018     0.000054
    51.500000     0.000049     0.000020     0.000060
    52.500000     0.000050     0.000017     0.000051
    53.500000     0.000054     0.000021     0.000063
    54.500000     0.000049     0.000021     0.000063
    55.500000     0.000051     0.000020     0.000060
    56.500000     0.000055     0.000019     0.000057
    57.500000     0.000054     0.000019     0.000057
    58.500000     0.000060     0.000019     0.000057
    59.500000     0.000073     0.000022     0.000066
    60.500000     0.000067     0.000019     0.000057
    61.500000     0.000076     0.000020     0.000060
    62.500000     0.000075     0.000022     0.000066
    63.500000     0.000075     0.000020     0.000060
    64.500000     0.000051     0.000016     0.000048
    65.500000     0.000035     0.000010     0.000030
    66.500000     0.000013     0.000004     0.000012
    67.500000     0.000004     0.000002     0.000006
    68.500000     0.000002     0.000001     0.000003
