            z         mean           se      std_dev
     0.500000   -15.078924     1.528618     4.585854
     1.500000   -15.030038     1.526458     4.579374
     2.500000   -14.893123     1.531915     4.595745
     3.500000   -14.692150     1.527539     4.582617
     4.500000   -14.408895     1.526471     4.579413
     5.500000   -14.169665     1.535640     4.606920
     6.500000   -14.102253     1.534578     4.603734
     7.500000   -14.297246     1.537168     4.611504
     8.500000   -14.711768     1.532469     4.597407
     9.500000   -15.162117     1.528233     4.584699
    10.500000   -15.479415     1.524060     4.572180
    11.500000   -15.494560     1.522310     4.566930
    12.500000   -15.142922     1.530713     4.592139
    13.500000   -14.392599     1.529684     4.589052
    14.500000   -13.275969     1.528313     4.584939
    15.500000   -11.861632     1.534445     4.603335
    16.500000   -10.136163     1.535465     4.606395
    17.500000    -8.133627     1.550682     4.652046
    18.500000    -5.938220     1.594967     4.784901
    19.500000    -3.818922     1.583579     4.750737
    20.500000    -1.604693     1.395765     4.187295
    21.500000    -0.261815     1.174694     3.524082
    22.500000     0.844481     0.947909     2.843727
    23.500000     0.592289     0.825383     2.476149
    24.500000     0.301221     0.840384     2.521152
    25.500000     0.036622     0.763800     2.291400
    26.500000    -0.133749     0.636106     1.908318
    27.500000    -0.222741     0.603957     1.811871
    28.500000    -0.113676     0.471478     1.414434
    29.500000     0.001773     0.369284     1.107852
    30.500000     0.178925     0.330261     0.990783
    31.500000     0.117112     0.255075     0.765225
    32.500000     0.194320     0.251800     0.755400
    33.500000     0.221609     0.273206     0.819618
    34.500000     0.248212     0.280508     0.841524
    35.500000     0.236597     0.230556     0.691668
    36.500000     0.155798     0.198370     0.595110
    37.500000     0.197661     0.254747     0.764241
    38.500000     0.197478     0.166982     0.500946
    39.500000     0.041691     0.258850     0.776550
    40.500000    -0.133704     0.219899     0.659697
    41.500000    -0.049417     0.126652     0.379956
    42.500000     0.026015     0.064451     0.193353
    43.500000     0.014796     0.078807     0.236421
    44.500000    -0.016002     0.101438     0.304314
    45.500000    -0.015018     0.080166     0.240498
    46.500000     0.050334     0.146758     0.440274
    47.500000    -0.078750     0.050028     0.150084
    48.500000     0.057622     0.095126     0.285378
    49.500000     0.144125     0.161205     0.483615
    50.500000     0.134801     0.145757     0.437271
    51.500000     0.281198     0.221474     0.664422
    52.500000     0.548128     0.262015     0.786045
    53.500000     0.451139     0.246000     0.738000
    54.500000     0.716001     0.370543     1.111629
    55.500000     0.670683     0.350351     1.051053
    56.500000     0.553746     0.261419     0.784257
    57.500000     0.475991     0.250724     0.752172
    58.500000     0.547874     0.339093     1.017279
    59.500000     0.499775     0.277502     0.832506
    60.500000     0.572318     0.358866     1.076598
    61.500000     0.482838     0.323021     0.969063
    62.500000     0.623793     0.360325     1.080975
    63.500000     0.878329     0.363558     1.090674
    64.500000     1.150425     0.372874     1.118622
    65.500000     1.659168     0.480696     1.442088
    66.500000     2.012585     0.467659     1.402977
    67.500000     2.587796     0.589306     1.767918
    68.500000     3.186190     0.665224     1.995672
    69.500000     4.289836     0.878280     2.634840
    70.500000     4.828245     0.977100     2.931300
    71.500000     5.603874     1.112732     3.338196
    72.500000     6.482348     1.288304     3.864912
    73.500000     7.133777     1.463992     4.391976
