           z         mean           se
    0.500000   -22.879636     0.797269
    1.500000   -22.806786     0.802248
    2.500000   -22.608877     0.800048
    3.500000   -22.270770     0.800806
    4.500000   -21.838514     0.795250
    5.500000   -21.443612     0.794280
    6.500000   -21.120417     0.787303
    7.500000   -20.932866     0.783917
    8.500000   -20.880302     0.773156
    9.500000   -20.894395     0.769826
   10.500000   -20.826733     0.776441
   11.500000   -20.567363     0.764299
   12.500000   -19.949124     0.764959
   13.500000   -18.959183     0.767380
   14.500000   -17.658943     0.754925
   15.500000   -15.982862     0.733739
   16.500000   -13.888263     0.670443
   17.500000   -11.461727     0.658530
   18.500000    -8.684240     0.731225
   19.500000    -5.800684     0.867767
   20.500000    -2.856016     0.929586
   21.500000    -0.872517     0.599732
   22.500000    -0.554024     0.685191
   23.500000    -0.645156     0.663726
   24.500000    -0.266157     0.445199
   25.500000     0.030210     0.449420
   26.500000     0.061709     0.360263
   27.500000     0.468073     0.468073
   28.500000     0.248096     0.248096
   29.500000     0.086713     0.086713
   30.500000     0.075374     0.075374
   31.500000     0.157422     0.157422
   32.500000     0.100956     0.100956
   33.500000     0.297511     0.297511
   34.500000     0.062346     0.062346
   35.500000     0.011997     0.011997
   36.500000    -0.054016     0.054016
   37.500000    -0.062293     0.062293
   38.500000    -0.038174     0.038174
   39.500000    -0.039651     0.039651
   40.500000    -0.075568     0.075568
   41.500000    -0.038174     0.038174
   42.500000    -0.039651     0.039651
   43.500000     0.011997     0.011997
   44.500000    -0.030665     0.030665
   45.500000     0.021002     0.021002
   46.500000    -0.015016     0.015016
   47.500000     0.003272     0.003272
   48.500000     0.051935     0.051935
   49.500000     0.110870     0.110870
   50.500000     0.075374     0.075374
   51.500000     0.086713     0.086713
   52.500000     0.032205     0.032205
   53.500000     0.051935     0.051935
   54.500000     0.140095     0.140095
   55.500000     0.086713     0.086713
   56.500000     0.098531     0.098531
   57.500000    -0.005189     0.005189
   58.500000    -0.083241     0.083241
   59.500000    -0.022950     0.022950
   60.500000    -0.088242     0.088242
   61.500000     0.003272     0.003272
   62.500000     0.003272     0.003272
   63.500000     0.013775     0.013775
   64.500000     0.140095     0.140095
   65.500000     0.154459     0.154459
   66.500000     0.224417     0.224417
   67.500000     0.209674     0.209674
   68.500000     0.323221     0.323221
   69.500000     0.468073     0.468073
   70.500000     0.517329     0.517329
   71.500000     0.383030     0.383030
   72.500000     0.273964     0.273964
   73.500000     0.383030     0.383030
