            z         mean           se      std_dev
     0.500000     2.885537     0.241958     0.725874
     1.500000     2.892597     0.248080     0.744240
     2.500000     2.864262     0.226860     0.680580
     3.500000     2.946904     0.221130     0.663390
     4.500000     2.970647     0.199624     0.598872
     5.500000     2.780226     0.204634     0.613902
     6.500000     2.046267     0.215180     0.645540
     7.500000     0.845165     0.187483     0.562449
     8.500000    -0.571607     0.185105     0.555315
     9.500000    -1.876199     0.173542     0.520626
    10.500000    -2.911638     0.177504     0.532512
    11.500000    -3.579783     0.177020     0.531060
    12.500000    -3.860566     0.170763     0.512289
    13.500000    -3.752872     0.158710     0.476130
    14.500000    -3.326571     0.147741     0.443223
    15.500000    -2.556901     0.147376     0.442128
    16.500000    -1.484141     0.138304     0.414912
    17.500000    -0.292680     0.125573     0.376719
    18.500000     0.987339     0.130606     0.391818
    19.500000     2.087194     0.157899     0.473697
    20.500000     2.681796     0.139352     0.418056
    21.500000     2.622432     0.112573     0.337719
    22.500000     2.131320     0.088759     0.266277
    23.500000     1.478417     0.078531     0.235593
    24.500000     0.899896     0.070869     0.212607
    25.500000     0.453835     0.070287     0.210861
    26.500000     0.151862     0.070068     0.210204
    27.500000     0.000824     0.055863     0.167589
    28.500000    -0.093050     0.062829     0.188487
    29.500000    -0.111539     0.051659     0.154977
    30.500000    -0.112144     0.048525     0.145575
    31.500000    -0.083967     0.043919     0.131757
    32.500000    -0.043788     0.040683     0.122049
    33.500000    -0.047784     0.040367     0.121101
    34.500000    -0.019133     0.038556     0.115668
    35.500000    -0.014523     0.031417     0.094251
    36.500000    -0.000392     0.024542     0.073626
    37.500000    -0.000919     0.033069     0.099207
    38.500000    -0.008959     0.020261     0.060783
    39.500000     0.000624     0.013011     0.039033
    40.500000    -0.016745     0.014816     0.044448
    41.500000    -0.002195     0.008793     0.026379
    42.500000     0.028480     0.016707     0.050121
    43.500000    -0.019839     0.009405     0.028215
    44.500000     0.005111     0.014427     0.043281
    45.500000     0.003741     0.008643     0.025929
    46.500000    -0.002093     0.010319     0.030957
    47.500000     0.008533     0.013737     0.041211
    48.500000    -0.002647     0.012867     0.038601
    49.500000    -0.002346     0.018841     0.056523
    50.500000     0.021592     0.024065     0.072195
    51.500000     0.017606     0.030571     0.091713
    52.500000     0.000667     0.028527     0.085581
    53.500000     0.005579     0.029923     0.089769
    54.500000     0.022822     0.034733     0.104199
    55.500000     0.042138     0.039923     0.119769
    56.500000     0.012341     0.036970     0.110910
    57.500000     0.016280     0.035974     0.107922
    58.500000     0.024331     0.043838     0.131514
    59.500000     0.070530     0.044063     0.132189
    60.500000     0.176540     0.051973     0.155919
    61.500000     0.389945     0.076411     0.229233
    62.500000     0.684272     0.089487     0.268461
    63.500000     1.130033     0.112018     0.336054
    64.500000     1.714514     0.146050     0.438150
    65.500000     2.491284     0.168091     0.504273
    66.500000     3.539542     0.238246     0.714738
    67.500000     4.896276     0.318478     0.955434
    68.500000     6.627796     0.392006     1.176018
    69.500000     8.943604     0.489665     1.468995
    70.500000     9.971804     0.518146     1.554438
    71.500000    13.652050     0.648856     1.946568
    72.500000    16.718325     0.451977     1.355931
    73.500000    17.926769     0.144763     0.434289
