           z         mean           se
    0.500000   -15.808328     1.662976
    1.500000   -15.713010     1.662220
    2.500000   -15.521965     1.662529
    3.500000   -15.190394     1.661004
    4.500000   -14.793398     1.666004
    5.500000   -14.403572     1.665236
    6.500000   -14.072727     1.663395
    7.500000   -13.910113     1.670064
    8.500000   -13.838761     1.677439
    9.500000   -13.831424     1.683664
   10.500000   -13.745987     1.678443
   11.500000   -13.497111     1.672139
   12.500000   -13.018288     1.674949
   13.500000   -12.167494     1.671579
   14.500000   -10.964490     1.677631
   15.500000    -9.353472     1.695185
   16.500000    -7.368956     1.675328
   17.500000    -5.217842     1.693964
   18.500000    -2.899936     1.594042
   19.500000    -0.617712     1.588705
   20.500000     0.505865     1.534489
   21.500000     1.456391     1.241563
   22.500000     2.138598     0.836525
   23.500000     1.369010     0.547415
   24.500000     0.898996     0.428966
   25.500000     0.528412     0.316812
   26.500000     0.004193     0.303493
   27.500000    -0.145462     0.216621
   28.500000    -0.246660     0.241360
   29.500000    -0.294477     0.243650
   30.500000    -0.333804     0.219785
   31.500000    -0.182910     0.169016
   32.500000    -0.112739     0.122598
   33.500000    -0.147988     0.244285
   34.500000    -0.132618     0.168774
   35.500000    -0.281854     0.178986
   36.500000    -0.186689     0.134680
   37.500000    -0.077012     0.101373
   38.500000    -0.116225     0.165889
   39.500000    -0.135166     0.157317
   40.500000    -0.125891     0.115338
   41.500000    -0.125538     0.126352
   42.500000    -0.040954     0.150427
   43.500000     0.020441     0.072134
   44.500000     0.001687     0.051230
   45.500000     0.125132     0.059714
   46.500000     0.042822     0.094164
   47.500000     0.139103     0.098754
   48.500000    -0.016117     0.172446
   49.500000    -0.020685     0.197749
   50.500000    -0.062477     0.199492
   51.500000    -0.161572     0.195496
   52.500000    -0.079508     0.205661
   53.500000     0.083362     0.268975
   54.500000    -0.127237     0.262220
   55.500000    -0.148723     0.363834
   56.500000    -0.281984     0.322074
   57.500000    -0.237710     0.326393
   58.500000    -0.303080     0.396380
   59.500000    -0.252977     0.322961
   60.500000    -0.268897     0.387810
   61.500000    -0.159503     0.361719
   62.500000    -0.144030     0.400875
   63.500000    -0.191892     0.410923
   64.500000    -0.048548     0.435998
   65.500000     0.123422     0.419965
   66.500000     0.267586     0.493997
   67.500000     0.859554     0.498944
   68.500000     1.279549     0.593502
   69.500000     1.770757     0.684457
   70.500000     3.225070     0.828670
   71.500000     4.380702     1.044424
   72.500000     4.850413     1.327841
   73.500000     6.343320     1.488069
   74.500000     7.256795     1.508214
