            z         mean           se      std_dev
     0.500000    -0.807988     0.935439     2.806317
     1.500000    -0.933225     0.856938     2.570814
     2.500000    -1.173768     0.869703     2.609109
     3.500000    -2.384734     0.836725     2.510175
     4.500000    -4.496614     0.772029     2.316087
     5.500000    -6.746007     0.764072     2.292216
     6.500000    -8.870059     0.756418     2.269254
     7.500000   -10.710647     0.751454     2.254362
     8.500000   -12.162447     0.748558     2.245674
     9.500000   -13.260654     0.754552     2.263656
    10.500000   -13.967258     0.760245     2.280735
    11.500000   -14.277868     0.761855     2.285565
    12.500000   -14.152805     0.753278     2.259834
    13.500000   -13.643048     0.754377     2.263131
    14.500000   -12.745698     0.741843     2.225529
    15.500000   -11.545757     0.748206     2.244618
    16.500000   -10.076639     0.749003     2.247009
    17.500000    -8.359038     0.749318     2.247954
    18.500000    -6.530333     0.750865     2.252595
    19.500000    -4.709297     0.774492     2.323476
    20.500000    -3.047826     0.766824     2.300472
    21.500000    -1.829999     0.747018     2.241054
    22.500000    -1.024601     0.596380     1.789140
    23.500000    -1.050946     0.546286     1.638858
    24.500000    -1.033677     0.534079     1.602237
    25.500000    -1.219812     0.544138     1.632414
    26.500000    -0.973705     0.483730     1.451190
    27.500000    -0.814093     0.475980     1.427940
    28.500000    -0.646576     0.508819     1.526457
    29.500000    -0.650157     0.380139     1.140417
    30.500000    -0.499771     0.391765     1.175295
    31.500000    -0.385044     0.352118     1.056354
    32.500000    -0.218817     0.247556     0.742668
    33.500000    -0.244713     0.257254     0.771762
    34.500000    -0.244502     0.231459     0.694377
    35.500000    -0.030009     0.209178     0.627534
    36.500000    -0.262843     0.220056     0.660168
    37.500000    -0.184217     0.266782     0.800346
    38.500000    -0.331505     0.288537     0.865611
    39.500000    -0.246638     0.259413     0.778239
    40.500000    -0.151679     0.137781     0.413343
    41.500000     0.067464     0.099903     0.299709
    42.500000    -0.008117     0.077528     0.232584
    43.500000    -0.163240     0.058370     0.175110
    44.500000    -0.027501     0.075580     0.226740
    45.500000     0.056748     0.154106     0.462318
    46.500000    -0.046293     0.105757     0.317271
    47.500000    -0.002219     0.098512     0.295536
    48.500000     0.147937     0.152889     0.458667
    49.500000     0.126899     0.159184     0.477552
    50.500000     0.281126     0.136380     0.409140
    51.500000     0.226209     0.176018     0.528054
    52.500000     0.005553     0.155277     0.465831
    53.500000     0.170509     0.191953     0.575859
    54.500000     0.075181     0.218495     0.655485
    55.500000     0.012314     0.249245     0.747735
    56.500000    -0.009607     0.264879     0.794637
    57.500000    -0.045166     0.293542     0.880626
    58.500000     0.174269     0.267892     0.803676
    59.500000     0.362529     0.272535     0.817605
    60.500000     0.165508     0.240988     0.722964
    61.500000     0.490531     0.246188     0.738564
    62.500000     0.821989     0.368687     1.106061
    63.500000     1.554650     0.350792     1.052376
    64.500000     1.922948     0.331182     0.993546
    65.500000     2.418090     0.311390     0.934170
    66.500000     3.668871     0.466236     1.398708
    67.500000     4.517757     0.517834     1.553502
    68.500000     7.407555     0.629972     1.889916
    69.500000     8.156902     0.793420     2.380260
    70.500000     8.862941     0.933462     2.800386
    71.500000     9.645527     0.702787     2.108361
