            z         mean           se      std_dev
     0.500000    19.474565     0.038092     0.114276
     1.500000    19.474565     0.038092     0.114276
     2.500000    19.474565     0.038092     0.114276
     3.500000    18.781318     0.484116     1.452348
     4.500000    18.038710     0.991566     2.974698
     5.500000    17.618360     1.295959     3.887877
     6.500000    17.306430     1.511409     4.534227
     7.500000    16.929120     1.720628     5.161884
     8.500000    15.739675     1.850320     5.550960
     9.500000    14.593325     2.044309     6.132927
    10.500000    12.887233     1.930496     5.791488
    11.500000    10.544078     1.544189     4.632567
    12.500000     8.278246     1.146893     3.440679
    13.500000     6.876562     0.933935     2.801805
    14.500000     5.575565     0.755861     2.267583
    15.500000     4.617209     0.617766     1.853298
    16.500000     3.965856     0.512362     1.537086
    17.500000     3.672471     0.335626     1.006878
    18.500000     3.741330     0.184233     0.552699
    19.500000     3.909398     0.184571     0.553713
    20.500000     4.012595     0.209754     0.629262
    21.500000     3.846782     0.240330     0.720990
    22.500000     3.499175     0.261054     0.783162
    23.500000     2.795949     0.226590     0.679770
    24.500000     2.190576     0.195368     0.586104
    25.500000     1.637907     0.167362     0.502086
    26.500000     1.191264     0.135427     0.406281
    27.500000     0.808729     0.120809     0.362427
    28.500000     0.547596     0.106017     0.318051
    29.500000     0.340479     0.103947     0.311841
    30.500000     0.241625     0.104580     0.313740
    31.500000     0.155059     0.098055     0.294165
    32.500000     0.100913     0.094221     0.282663
    33.500000     0.081420     0.084662     0.253986
    34.500000     0.091592     0.084991     0.254973
    35.500000     0.050133     0.071068     0.213204
    36.500000     0.029147     0.071914     0.215742
    37.500000     0.047635     0.058841     0.176523
    38.500000     0.009242     0.047828     0.143484
    39.500000     0.022400     0.039319     0.117957
    40.500000     0.014774     0.040297     0.120891
    41.500000     0.010319     0.028980     0.086940
    42.500000     0.034877     0.025705     0.077115
    43.500000     0.017222     0.014809     0.044427
    44.500000     0.020506     0.016915     0.050745
    45.500000    -0.007307     0.019523     0.058569
    46.500000    -0.006876     0.022539     0.067617
    47.500000    -0.012234     0.020715     0.062145
    48.500000    -0.023165     0.033834     0.101502
    49.500000    -0.048116     0.037878     0.113634
    50.500000    -0.043743     0.049299     0.147897
    51.500000    -0.025610     0.060861     0.182583
    52.500000    -0.032689     0.056631     0.169893
    53.500000    -0.034925     0.064585     0.193755
    54.500000    -0.016491     0.081637     0.244911
    55.500000    -0.023438     0.079516     0.238548
    56.500000    -0.025708     0.075651     0.226953
    57.500000    -0.005663     0.074483     0.223449
    58.500000     0.004524     0.081119     0.243357
    59.500000     0.033448     0.089151     0.267453
    60.500000     0.056651     0.081635     0.244905
    61.500000     0.116671     0.088399     0.265197
    62.500000     0.208030     0.092190     0.276570
    63.500000     0.363408     0.106575     0.319725
    64.500000     0.628016     0.099333     0.297999
    65.500000     0.933910     0.097709     0.293127
    66.500000     1.298218     0.098672     0.296016
    67.500000     1.744414     0.090777     0.272331
    68.500000     2.212618     0.107619     0.322857
    69.500000     2.833687     0.104827     0.314481
    70.500000     3.766351     0.139258     0.417774
    71.500000     4.961286     0.184282     0.552846
    72.500000     6.583447     0.281847     0.845541
    73.500000     7.025841     0.258362     0.775086
    74.500000     9.823963     0.323532     0.970596
    75.500000    12.632457     0.441333     1.323999
    76.500000    16.061953     0.748355     2.245065
    77.500000    18.691002     0.394584     1.183752
    78.500000    19.253948     0.214364     0.643092
