            z         mean           se      std_dev
     0.500000   -16.804090     0.550829     1.652487
     1.500000   -16.633649     0.548543     1.645629
     2.500000   -16.330520     0.549421     1.648263
     3.500000   -15.918589     0.544851     1.634553
     4.500000   -15.385502     0.551376     1.654128
     5.500000   -14.805419     0.550653     1.651959
     6.500000   -14.318832     0.546885     1.640655
     7.500000   -13.877323     0.544964     1.634892
     8.500000   -13.505682     0.533542     1.600626
     9.500000   -13.198379     0.540319     1.620957
    10.500000   -12.866328     0.535020     1.605060
    11.500000   -12.423643     0.538643     1.615929
    12.500000   -11.787659     0.522537     1.567611
    13.500000   -10.873550     0.536596     1.609788
    14.500000    -9.613272     0.546256     1.638768
    15.500000    -8.119741     0.546593     1.639779
    16.500000    -6.300551     0.575244     1.725732
    17.500000    -4.286658     0.625818     1.877454
    18.500000    -2.048788     0.699437     2.098311
    19.500000     0.626939     0.810983     2.432949
    20.500000     2.287145     0.935347     2.806041
    21.500000     3.279568     0.710357     2.131071
    22.500000     2.462611     0.471902     1.415706
    23.500000     2.106769     0.369108     1.107324
    24.500000     1.200564     0.335438     1.006314
    25.500000     0.340432     0.229648     0.688944
    26.500000     0.086977     0.323112     0.969336
    27.500000    -0.154523     0.335945     1.007835
    28.500000    -0.410256     0.179698     0.539094
    29.500000    -0.673054     0.260054     0.780162
    30.500000    -0.630096     0.347850     1.043550
    31.500000    -0.421258     0.456800     1.370400
    32.500000    -0.109408     0.204189     0.612567
    33.500000    -0.462702     0.135064     0.405192
    34.500000    -0.318633     0.222821     0.668463
    35.500000    -0.394580     0.234154     0.702462
    36.500000    -0.355973     0.344246     1.032738
    37.500000    -0.527673     0.315810     0.947430
    38.500000    -0.196878     0.216859     0.650577
    39.500000    -0.207265     0.239460     0.718380
    40.500000    -0.511828     0.298137     0.894411
    41.500000    -0.372605     0.181360     0.544080
    42.500000    -0.077460     0.235281     0.705843
    43.500000     0.103266     0.243061     0.729183
    44.500000     0.213299     0.212653     0.637959
    45.500000     0.427088     0.270414     0.811242
    46.500000    -0.028249     0.200446     0.601338
    47.500000     0.338132     0.282487     0.847461
    48.500000     0.225044     0.252975     0.758925
    49.500000    -0.316688     0.223031     0.669093
    50.500000     0.346413     0.291703     0.875109
    51.500000     0.331213     0.314476     0.943428
    52.500000    -0.306026     0.175373     0.526119
    53.500000     0.064809     0.159502     0.478506
    54.500000     0.177116     0.276886     0.830658
    55.500000    -0.827438     0.158697     0.476091
    56.500000    -0.050777     0.200560     0.601680
    57.500000    -0.041774     0.277352     0.832056
    58.500000     0.075747     0.348390     1.045170
    59.500000    -0.253793     0.133600     0.400800
    60.500000     0.364337     0.387738     1.163214
    61.500000    -0.331750     0.305132     0.915396
    62.500000    -0.409989     0.241528     0.724584
    63.500000    -0.198712     0.354015     1.062045
    64.500000    -0.217892     0.273785     0.821355
    65.500000     0.213756     0.489590     1.468770
    66.500000     0.968746     0.701902     2.105706
    67.500000     0.874152     0.380424     1.141272
    68.500000     2.307133     0.602941     1.808823
    69.500000     3.075075     0.452394     1.357182
    70.500000     4.597889     0.747794     2.243382
    71.500000     5.539401     0.581972     1.745916
    72.500000     6.425436     0.727114     2.181342
