            z         mean           se      std_dev
     0.500000    -8.760172     0.241245     0.723735
     1.500000    -8.636662     0.240207     0.720621
     2.500000    -8.387860     0.240355     0.721065
     3.500000    -8.028988     0.243431     0.730293
     4.500000    -7.601366     0.243649     0.730947
     5.500000    -7.175761     0.240282     0.720846
     6.500000    -6.824771     0.238774     0.716322
     7.500000    -6.551285     0.237487     0.712461
     8.500000    -6.388071     0.236107     0.708321
     9.500000    -6.276644     0.243769     0.731307
    10.500000    -6.187252     0.241395     0.724185
    11.500000    -6.039417     0.246485     0.739455
    12.500000    -5.717312     0.253062     0.759186
    13.500000    -5.120270     0.258485     0.775455
    14.500000    -4.254708     0.260228     0.780684
    15.500000    -3.106987     0.259589     0.778767
    16.500000    -1.780665     0.265741     0.797223
    17.500000    -0.252743     0.249328     0.747984
    18.500000     1.118073     0.262766     0.788298
    19.500000     2.328223     0.250303     0.750909
    20.500000     3.059850     0.219846     0.659538
    21.500000     3.056432     0.123020     0.369060
    22.500000     2.500283     0.075207     0.225621
    23.500000     1.902662     0.080860     0.242580
    24.500000     1.236145     0.063608     0.190824
    25.500000     0.709616     0.053570     0.160710
    26.500000     0.330484     0.054988     0.164964
    27.500000     0.094469     0.049162     0.147486
    28.500000    -0.031079     0.042401     0.127203
    29.500000    -0.072345     0.034716     0.104148
    30.500000    -0.066608     0.034970     0.104910
    31.500000    -0.066573     0.045022     0.135066
    32.500000    -0.052131     0.040616     0.121848
    33.500000    -0.045229     0.047672     0.143016
    34.500000    -0.014267     0.029559     0.088677
    35.500000    -0.037703     0.036635     0.109905
    36.500000    -0.031114     0.029744     0.089232
    37.500000    -0.012505     0.030774     0.092322
    38.500000    -0.052697     0.042645     0.127935
    39.500000     0.009563     0.037506     0.112518
    40.500000    -0.005093     0.024675     0.074025
    41.500000    -0.000232     0.029626     0.088878
    42.500000    -0.009711     0.029249     0.087747
    43.500000     0.002101     0.024450     0.073350
    44.500000    -0.033359     0.031464     0.094392
    45.500000    -0.002246     0.030059     0.090177
    46.500000    -0.024992     0.015934     0.047802
    47.500000    -0.002580     0.019371     0.058113
    48.500000     0.048718     0.025884     0.077652
    49.500000     0.027392     0.028762     0.086286
    50.500000     0.027615     0.034726     0.104178
    51.500000     0.036482     0.040630     0.121890
    52.500000    -0.009041     0.048349     0.145047
    53.500000     0.018105     0.062296     0.186888
    54.500000     0.040411     0.048055     0.144165
    55.500000    -0.011790     0.043876     0.131628
    56.500000     0.006829     0.042525     0.127575
    57.500000    -0.024342     0.047525     0.142575
    58.500000    -0.022536     0.046895     0.140685
    59.500000    -0.013366     0.068001     0.204003
    60.500000    -0.016562     0.054835     0.164505
    61.500000     0.000825     0.072839     0.218517
    62.500000    -0.044788     0.066056     0.198168
    63.500000     0.037171     0.077099     0.231297
    64.500000     0.142521     0.065858     0.197574
    65.500000     0.348666     0.103260     0.309780
    66.500000     0.707767     0.083074     0.249222
    67.500000     1.310664     0.103672     0.311016
    68.500000     2.283433     0.145550     0.436650
    69.500000     3.632979     0.126130     0.378390
    70.500000     5.404642     0.181056     0.543168
    71.500000     7.684884     0.214058     0.642174
    72.500000    10.400223     0.237863     0.713589
    73.500000    12.865626     0.270612     0.811836
    74.500000    14.247922     0.310940     0.932820
    75.500000    14.506754     0.267755     0.803265
