            z         mean           se      std_dev
     0.500000    19.203637     0.011996     0.035988
     1.500000    19.203637     0.011996     0.035988
     2.500000    19.203637     0.011996     0.035988
     3.500000    19.203637     0.011996     0.035988
     4.500000    19.203637     0.011996     0.035988
     5.500000    19.203637     0.011996     0.035988
     6.500000    19.203637     0.011996     0.035988
     7.500000    19.203637     0.011996     0.035988
     8.500000    18.674248     0.282453     0.847359
     9.500000    17.596554     0.596631     1.789893
    10.500000    15.672546     0.505296     1.515888
    11.500000    12.571579     0.370133     1.110399
    12.500000     9.860336     0.385221     1.155663
    13.500000     7.872091     0.364049     1.092147
    14.500000     6.243193     0.346530     1.039590
    15.500000     5.005537     0.262944     0.788832
    16.500000     4.126173     0.224573     0.673719
    17.500000     3.478105     0.201861     0.605583
    18.500000     3.165285     0.188296     0.564888
    19.500000     3.009012     0.159407     0.478221
    20.500000     2.811399     0.102151     0.306453
    21.500000     2.397008     0.068141     0.204423
    22.500000     1.745003     0.058201     0.174603
    23.500000     0.942016     0.055629     0.166887
    24.500000     0.163361     0.049587     0.148761
    25.500000    -0.400374     0.035094     0.105282
    26.500000    -0.742542     0.022704     0.068112
    27.500000    -0.868471     0.017658     0.052974
    28.500000    -0.837122     0.015144     0.045432
    29.500000    -0.718845     0.015206     0.045618
    30.500000    -0.574987     0.016947     0.050841
    31.500000    -0.450028     0.018455     0.055365
    32.500000    -0.340829     0.023907     0.071721
    33.500000    -0.251041     0.025000     0.075000
    34.500000    -0.199788     0.029811     0.089433
    35.500000    -0.145680     0.025019     0.075057
    36.500000    -0.111312     0.027757     0.083271
    37.500000    -0.093259     0.023547     0.070641
    38.500000    -0.067808     0.022000     0.066000
    39.500000    -0.039839     0.022798     0.068394
    40.500000    -0.010248     0.016539     0.049617
    41.500000     0.007960     0.012992     0.038976
    42.500000     0.004879     0.015004     0.045012
    43.500000     0.005888     0.008279     0.024837
    44.500000    -0.010614     0.011348     0.034044
    45.500000     0.008355     0.007285     0.021855
    46.500000    -0.002456     0.008905     0.026715
    47.500000    -0.008719     0.015223     0.045669
    48.500000     0.006581     0.015571     0.046713
    49.500000    -0.001625     0.012901     0.038703
    50.500000    -0.002893     0.015034     0.045102
    51.500000     0.011054     0.014324     0.042972
    52.500000     0.024376     0.017287     0.051861
    53.500000     0.048816     0.012801     0.038403
    54.500000     0.046448     0.016788     0.050364
    55.500000     0.040744     0.023735     0.071205
    56.500000     0.060010     0.019048     0.057144
    57.500000     0.078243     0.023647     0.070941
    58.500000     0.076010     0.024512     0.073536
    59.500000     0.094792     0.018328     0.054984
    60.500000     0.094602     0.020716     0.062148
    61.500000     0.122226     0.020542     0.061626
    62.500000     0.180887     0.021450     0.064350
    63.500000     0.314621     0.030671     0.092013
    64.500000     0.527859     0.043328     0.129984
    65.500000     0.853038     0.043395     0.130185
    66.500000     1.246209     0.056812     0.170436
    67.500000     1.708052     0.056939     0.170817
    68.500000     2.308952     0.084112     0.252336
    69.500000     3.107886     0.114059     0.342177
    70.500000     4.239324     0.146267     0.438801
    71.500000     5.728061     0.224961     0.674883
    72.500000     7.598017     0.283073     0.849219
    73.500000     9.745420     0.322206     0.966618
    74.500000    10.455142     0.342519     1.027557
    75.500000    14.020158     0.620951     1.862853
    76.500000    16.557774     0.647622     1.942866
    77.500000    17.931041     0.456073     1.368219
    78.500000    19.109437     0.098830     0.296490
