           z    400-600ns    600-800ns   800-1000ns
  -70.500000     0.000000     0.000000     0.000000
  -69.500000     0.000000     0.000004     0.000000
  -68.500000     0.000000     0.000008     0.000000
  -67.500000     0.000000     0.000012     0.000000
  -66.500000     0.000000     0.000046     0.000000
  -65.500000     0.000000     0.000038     0.000000
  -64.500000     0.000000     0.000054     0.000000
  -63.500000     0.000000     0.000077     0.000000
  -62.500000     0.000000     0.000112     0.000000
  -61.500000     0.000000     0.000077     0.000000
  -60.500000     0.000000     0.000112     0.000000
  -59.500000     0.000000     0.000085     0.000000
  -58.500000     0.000000     0.000108     0.000000
  -57.500000     0.000000     0.000069     0.000000
  -56.500000     0.000000     0.000131     0.000000
  -55.500000     0.000000     0.000069     0.000000
  -54.500000     0.000000     0.000135     0.000000
  -53.500000     0.000000     0.000062     0.000000
  -52.500000     0.000000     0.000085     0.000000
  -51.500000     0.000000     0.000108     0.000000
  -50.500000     0.000000     0.000104     0.000000
  -49.500000     0.000000     0.000204     0.000000
  -48.500000     0.000000     0.000169     0.000000
  -47.500000     0.000000     0.000154     0.000000
  -46.500000     0.000000     0.000173     0.000000
  -45.500000     0.000000     0.000169     0.000000
  -44.500000     0.000000     0.000131     0.000000
  -43.500000     0.000000     0.000131     0.000000
  -42.500000     0.000000     0.000077     0.000000
  -41.500000     0.000000     0.000088     0.000000
  -40.500000     0.000000     0.000115     0.000000
  -39.500000     0.000000     0.000096     0.000000
  -38.500000     0.000000     0.000127     0.000000
  -37.500000     0.000000     0.000112     0.000000
  -36.500000     0.000000     0.000085     0.000000
  -35.500000     0.000000     0.000088     0.000000
  -34.500000     0.000000     0.000077     0.000000
  -33.500000     0.000000     0.000069     0.000000
  -32.500000     0.000000     0.000088     0.000000
  -31.500000     0.000000     0.000081     0.000000
  -30.500000     0.000000     0.000100     0.000000
  -29.500000     0.000000     0.000131     0.000000
  -28.500000     0.000000     0.000173     0.000000
  -27.500000     0.000000     0.000142     0.000000
  -26.500000     0.000000     0.000181     0.000000
  -25.500000     0.000000     0.000146     0.000000
  -24.500000     0.000000     0.000185     0.000000
  -23.500000     0.000000     0.000154     0.000004
  -22.500000     0.000000     0.000088     0.000000
  -21.500000     0.000000     0.000088     0.000027
  -20.500000     0.000008     0.000104     0.000058
  -19.500000     0.000069     0.000304     0.000181
  -18.500000     0.000308     0.000427     0.000504
  -17.500000     0.000927     0.001192     0.001396
  -16.500000     0.002485     0.002512     0.002692
  -15.500000     0.006338     0.005419     0.005577
  -14.500000     0.012873     0.010565     0.010362
  -13.500000     0.021865     0.017200     0.017169
  -12.500000     0.031473     0.024319     0.025385
  -11.500000     0.039023     0.031500     0.032296
  -10.500000     0.042127     0.034988     0.034300
   -9.500000     0.040069     0.035212     0.033935
   -8.500000     0.035542     0.031677     0.031669
   -7.500000     0.032769     0.029927     0.028946
   -6.500000     0.031158     0.030665     0.028354
   -5.500000     0.031688     0.032746     0.030269
   -4.500000     0.035369     0.035850     0.032500
   -3.500000     0.037496     0.038977     0.035754
   -2.500000     0.039096     0.041108     0.038127
   -1.500000     0.041462     0.042527     0.039912
   -0.500000     0.042569     0.042288     0.041473
    0.500000     0.043027     0.043073     0.041935
    1.500000     0.042173     0.042112     0.040127
    2.500000     0.040250     0.039988     0.039138
    3.500000     0.036331     0.037362     0.036065
    4.500000     0.032904     0.035581     0.033112
    5.500000     0.030281     0.032738     0.030746
