           z    400-600ns    600-800ns   800-1000ns
  -69.500000     0.000000     0.000000     0.000004
  -68.500000     0.000000     0.000000     0.000015
  -67.500000     0.000000     0.000000     0.000054
  -66.500000     0.000000     0.000000     0.000058
  -65.500000     0.000000     0.000000     0.000131
  -64.500000     0.000000     0.000000     0.000212
  -63.500000     0.000000     0.000000     0.000285
  -62.500000     0.000000     0.000000     0.000342
  -61.500000     0.000000     0.000000     0.000373
  -60.500000     0.000000     0.000000     0.000396
  -59.500000     0.000000     0.000000     0.000319
  -58.500000     0.000000     0.000000     0.000312
  -57.500000     0.000000     0.000000     0.000331
  -56.500000     0.000000     0.000000     0.000315
  -55.500000     0.000000     0.000000     0.000346
  -54.500000     0.000000     0.000000     0.000342
  -53.500000     0.000000     0.000000     0.000273
  -52.500000     0.000000     0.000000     0.000315
  -51.500000     0.000000     0.000000     0.000281
  -50.500000     0.000000     0.000000     0.000323
  -49.500000     0.000000     0.000000     0.000338
  -48.500000     0.000000     0.000000     0.000296
  -47.500000     0.000000     0.000000     0.000281
  -46.500000     0.000000     0.000000     0.000273
  -45.500000     0.000000     0.000000     0.000269
  -44.500000     0.000000     0.000000     0.000281
  -43.500000     0.000000     0.000000     0.000304
  -42.500000     0.000000     0.000000     0.000269
  -41.500000     0.000000     0.000000     0.000258
  -40.500000     0.000000     0.000000     0.000204
  -39.500000     0.000000     0.000000     0.000154
  -38.500000     0.000000     0.000000     0.000154
  -37.500000     0.000000     0.000000     0.000208
  -36.500000     0.000000     0.000000     0.000215
  -35.500000     0.000000     0.000000     0.000254
  -34.500000     0.000000     0.000000     0.000265
  -33.500000     0.000000     0.000000     0.000246
  -32.500000     0.000000     0.000000     0.000242
  -31.500000     0.000000     0.000000     0.000242
  -30.500000     0.000000     0.000000     0.000315
  -29.500000     0.000000     0.000000     0.000308
  -28.500000     0.000000     0.000000     0.000377
  -27.500000     0.000000     0.000000     0.000408
  -26.500000     0.000000     0.000000     0.000446
  -25.500000     0.000000     0.000000     0.000388
  -24.500000     0.000000     0.000008     0.000365
  -23.500000     0.000012     0.000027     0.000292
  -22.500000     0.000119     0.000062     0.000173
  -21.500000     0.000358     0.000181     0.000108
  -20.500000     0.000704     0.000488     0.000381
  -19.500000     0.001277     0.001265     0.001215
  -18.500000     0.003069     0.003065     0.003058
  -17.500000     0.007204     0.006638     0.006719
  -16.500000     0.014208     0.014504     0.014492
  -15.500000     0.026946     0.028819     0.026565
  -14.500000     0.046758     0.049565     0.045131
  -13.500000     0.068058     0.068169     0.065419
  -12.500000     0.085404     0.082650     0.080481
  -11.500000     0.089035     0.084869     0.083608
  -10.500000     0.078058     0.074577     0.071896
   -9.500000     0.057673     0.054996     0.052204
   -8.500000     0.036515     0.033373     0.033769
   -7.500000     0.019800     0.019742     0.017881
   -6.500000     0.009196     0.010065     0.008469
   -5.500000     0.003762     0.003815     0.003942
   -4.500000     0.001650     0.001265     0.001873
   -3.500000     0.000600     0.000227     0.000931
   -2.500000     0.000396     0.000065     0.000454
   -1.500000     0.000123     0.000012     0.000177
   -0.500000     0.000092     0.000008     0.000212
    0.500000     0.000073     0.000004     0.000196
    1.500000     0.000119     0.000012     0.000127
    2.500000     0.000181     0.000054     0.000258
    3.500000     0.000642     0.000142     0.000385
    4.500000     0.001669     0.000746     0.000977
    5.500000     0.003654     0.002504     0.002965
    6.500000     0.008077     0.006831     0.008027
    7.500000     0.017850     0.015162     0.017596
    8.500000     0.033246     0.028688     0.031623
    9.500000     0.048669     0.046965     0.048727
   10.500000     0.063362     0.064188     0.065696
   11.500000     0.070373     0.073019     0.071781
   12.500000     0.068431     0.069477     0.066819
   13.500000     0.053108     0.058531     0.053850
   14.500000     0.036231     0.043788     0.039031
   15.500000     0.022231     0.026596     0.024058
   16.500000     0.011642     0.014188     0.013200
   17.500000     0.005465     0.006627     0.005623
   18.500000     0.002508     0.002442     0.002504
   19.500000     0.001077     0.001108     0.000892
   20.500000     0.000300     0.000369     0.000438
   21.500000     0.000058     0.000085     0.000323
   22.500000     0.000019     0.000015     0.000358
   23.500000     0.000000     0.000000     0.000373
   24.500000     0.000000     0.000000     0.000396
   25.500000     0.000000     0.000000     0.000404
   26.500000     0.000000     0.000000     0.000400
   27.500000     0.000000     0.000000     0.000423
   28.500000     0.000000     0.000000     0.000381
   29.500000     0.000000     0.000000     0.000327
   30.500000     0.000000     0.000000     0.000285
   31.500000     0.000000     0.000000     0.000254
   32.500000     0.000000     0.000000     0.000308
   33.500000     0.000000     0.000000     0.000308
   34.500000     0.000000     0.000000     0.000215
   35.500000     0.000000     0.000000     0.000227
   36.500000     0.000000     0.000000     0.000219
   37.500000     0.000000     0.000000     0.000235
   38.500000     0.000000     0.000000     0.000277
   39.500000     0.000000     0.000000     0.000212
   40.500000     0.000000     0.000000     0.000346
   41.500000     0.000000     0.000000     0.000235
   42.500000     0.000000     0.000000     0.000281
   43.500000     0.000000     0.000000     0.000273
   44.500000     0.000000     0.000000     0.000285
   45.500000     0.000000     0.000000     0.000277
   46.500000     0.000000     0.000000     0.000262
   47.500000     0.000000     0.000000     0.000242
   48.500000     0.000000     0.000000     0.000331
   49.500000     0.000000     0.000000     0.000223
   50.500000     0.000000     0.000000     0.000223
   51.500000     0.000000     0.000000     0.000219
   52.500000     0.000000     0.000000     0.000212
   53.500000     0.000000     0.000000     0.000246
   54.500000     0.000000     0.000000     0.000223
   55.500000     0.000000     0.000000     0.000292
   56.500000     0.000000     0.000000     0.000200
   57.500000     0.000000     0.000000     0.000204
   58.500000     0.000000     0.000000     0.000235
   59.500000     0.000000     0.000000     0.000204
   60.500000     0.000000     0.000000     0.000246
   61.500000     0.000000     0.000000     0.000269
   62.500000     0.000000     0.000000     0.000177
   63.500000     0.000000     0.000000     0.000250
   64.500000     0.000000     0.000000     0.000215
   65.500000     0.000000     0.000000     0.000204
   66.500000     0.000000     0.000000     0.000185
   67.500000     0.000000     0.000000     0.000277
   68.500000     0.000000     0.000000     0.000212
   69.500000     0.000000     0.000000     0.000200
   70.500000     0.000000     0.000000     0.000119
   71.500000     0.000000     0.000000     0.000073
   72.500000     0.000000     0.000000     0.000019
   73.500000     0.000000     0.000000     0.000004
   74.500000     0.000000     0.000000     0.000004
