x	PMF_mean	std_dev	std_error
0.500000	-8.904050	0.397099	0.162115
1.500000	-8.777401	0.395888	0.161621
2.500000	-8.523633	0.396711	0.161956
3.500000	-8.159153	0.397466	0.162265
4.500000	-7.725729	0.390869	0.159572
5.500000	-7.292133	0.386847	0.157929
6.500000	-6.932554	0.375155	0.153156
7.500000	-6.653465	0.363571	0.148427
8.500000	-6.480637	0.355095	0.144967
9.500000	-6.364785	0.359954	0.146951
10.500000	-6.268925	0.352628	0.143960
11.500000	-6.113808	0.365281	0.149125
12.500000	-5.784616	0.396439	0.161845
13.500000	-5.185434	0.406563	0.165978
14.500000	-4.311423	0.403658	0.164793
15.500000	-3.157077	0.402714	0.164407
16.500000	-1.809545	0.433858	0.177122
17.500000	-0.273919	0.380782	0.155454
18.500000	1.133769	0.415510	0.169631
19.500000	2.399563	0.378312	0.154445
20.500000	3.153399	0.324190	0.132350
21.500000	3.161135	0.153586	0.062701
22.500000	2.583156	0.207179	0.084581
23.500000	1.953908	0.149909	0.061200
24.500000	1.288894	0.125465	0.051221
25.500000	0.748791	0.099413	0.040585
26.500000	0.372576	0.134591	0.054946
27.500000	0.117031	0.128337	0.052393
28.500000	-0.016768	0.105398	0.043029
29.500000	-0.061189	0.105705	0.043154
30.500000	-0.043869	0.129973	0.053061
31.500000	-0.048575	0.115731	0.047247
32.500000	-0.040271	0.103254	0.042153
33.500000	-0.038656	0.101740	0.041535
34.500000	-0.016675	0.121193	0.049477
35.500000	-0.029363	0.110143	0.044966
36.500000	-0.031799	0.075425	0.030792
37.500000	-0.013670	0.090882	0.037102
38.500000	-0.053403	0.072571	0.029627
39.500000	0.009979	0.080701	0.032946
40.500000	0.007156	0.053281	0.021752
41.500000	-0.002220	0.035210	0.014374
42.500000	0.006354	0.065515	0.026746
43.500000	-0.009208	0.040734	0.016630
44.500000	-0.030368	0.051711	0.021111
45.500000	-0.021196	0.038037	0.015528
46.500000	-0.016264	0.053662	0.021907
47.500000	0.000439	0.064919	0.026503
48.500000	0.033318	0.051846	0.021166
49.500000	0.031989	0.033293	0.013592
50.500000	0.023301	0.085624	0.034956
51.500000	0.031538	0.050264	0.020520
52.500000	-0.000283	0.071574	0.029220
53.500000	0.031755	0.043306	0.017679
54.500000	0.031506	0.083274	0.033996
55.500000	0.003545	0.067322	0.027484
56.500000	0.013387	0.094446	0.038557
57.500000	-0.012389	0.114380	0.046695
58.500000	-0.005318	0.080785	0.032980
59.500000	-0.003345	0.130307	0.053198
60.500000	0.005739	0.149138	0.060885
61.500000	0.011470	0.138647	0.056603
62.500000	-0.025400	0.116277	0.047470
63.500000	0.048719	0.139023	0.056756
64.500000	0.161718	0.184860	0.075469
65.500000	0.361634	0.268530	0.109627
66.500000	0.752532	0.475711	0.194208
67.500000	1.377719	0.815411	0.332890
68.500000	2.478468	1.220402	0.498227
69.500000	3.960631	1.580650	0.645298
70.500000	6.033258	2.214797	0.904187
71.500000	8.025604	2.136293	0.872138
72.500000	11.935832	3.380761	1.380190
73.500000	14.982994	0.327880	0.133857
74.500000	14.982994	0.327880	0.133857
75.500000	14.982994	0.327880	0.133857
