x	PMF_mean	std_dev	std_error
0.500000	-21.072318	3.229877	1.318592
1.500000	-20.947322	3.229834	1.318574
2.500000	-20.698201	3.228644	1.318088
3.500000	-20.345252	3.226705	1.317297
4.500000	-19.919940	3.226645	1.317272
5.500000	-19.488250	3.224962	1.316585
6.500000	-19.114227	3.220293	1.314679
7.500000	-18.844939	3.209578	1.310305
8.500000	-18.677244	3.201262	1.306910
9.500000	-18.536502	3.210082	1.310510
10.500000	-18.346206	3.221058	1.314992
11.500000	-18.008515	3.240510	1.322933
12.500000	-17.448941	3.254119	1.328489
13.500000	-16.595278	3.256674	1.329532
14.500000	-15.412857	3.258323	1.330205
15.500000	-13.890734	3.261361	1.331445
16.500000	-12.055282	3.261832	1.331637
17.500000	-9.957916	3.227109	1.317462
18.500000	-7.585016	3.177982	1.297406
19.500000	-5.087238	3.093169	1.262781
20.500000	-2.610228	3.068158	1.252570
21.500000	-0.448322	2.911859	1.188761
22.500000	0.852147	2.465096	1.006371
23.500000	1.700443	2.589758	1.057264
24.500000	1.387913	1.637258	0.668408
25.500000	0.901992	1.261516	0.515012
26.500000	0.609421	1.293379	0.528020
27.500000	0.852121	1.593081	0.650373
28.500000	0.392016	1.412963	0.576840
29.500000	-0.031728	0.498858	0.203658
30.500000	0.042588	0.351528	0.143511
31.500000	-0.038785	0.389419	0.158980
32.500000	0.042588	0.301294	0.123003
33.500000	-0.383214	1.105507	0.451322
34.500000	0.042588	0.301294	0.123003
35.500000	-0.384684	1.108974	0.452737
36.500000	-0.384685	1.123662	0.458733
37.500000	-0.459001	1.145293	0.467564
38.500000	-0.337377	1.153834	0.471051
39.500000	-0.376140	1.163213	0.474880
40.500000	0.042588	0.351528	0.143511
41.500000	0.042588	0.351528	0.143511
42.500000	-0.123911	0.268171	0.109480
43.500000	-0.123911	0.268171	0.109480
44.500000	0.085199	0.285709	0.116640
45.500000	-0.076603	0.273158	0.111516
46.500000	-0.066043	0.328245	0.134006
47.500000	0.143067	0.297350	0.121393
48.500000	0.143067	0.297350	0.121393
49.500000	-0.066043	0.328245	0.134006
50.500000	-0.593795	0.992115	0.405029
51.500000	-0.585249	1.006374	0.410850
52.500000	-0.668110	0.968958	0.395576
53.500000	-0.208005	1.636561	0.668123
54.500000	-0.675168	0.959623	0.391764
55.500000	-0.466058	1.098748	0.448562
56.500000	-0.427296	1.106215	0.451610
57.500000	-0.034448	1.664590	0.679566
58.500000	-0.534444	1.105515	0.451325
59.500000	-0.140394	1.704117	0.695703
60.500000	-0.168872	1.722272	0.703114
61.500000	-0.207635	1.733098	0.707534
62.500000	-0.109892	1.687658	0.688983
63.500000	0.325962	2.166926	0.884644
64.500000	0.403771	2.133954	0.871183
65.500000	0.621174	2.122652	0.866569
66.500000	0.885746	2.180888	0.890344
67.500000	1.495918	1.617494	0.660339
68.500000	1.866773	1.803120	0.736121
69.500000	2.363728	2.601882	1.062214
70.500000	2.553981	2.567026	1.047984
71.500000	2.903939	2.718919	1.109994
72.500000	3.330149	3.217954	1.313724
73.500000	3.330149	3.217954	1.313724
74.500000	3.330149	3.217954	1.313724
75.500000	3.330149	3.217954	1.313724
