x	PMF_mean	std_dev	std_error
0.500000	3.077225	0.412083	0.168232
1.500000	3.063226	0.445865	0.182024
2.500000	3.060715	0.432969	0.176759
3.500000	3.010720	0.382029	0.155963
4.500000	2.842068	0.377023	0.153919
5.500000	2.302529	0.330233	0.134817
6.500000	1.340711	0.283845	0.115879
7.500000	0.035860	0.244624	0.099867
8.500000	-1.297006	0.202369	0.082617
9.500000	-2.472109	0.196728	0.080314
10.500000	-3.375075	0.194085	0.079235
11.500000	-3.952026	0.209934	0.085705
12.500000	-4.182805	0.219255	0.089511
13.500000	-4.071558	0.239965	0.097965
14.500000	-3.635052	0.257595	0.105163
15.500000	-2.898919	0.282534	0.115344
16.500000	-1.899275	0.294791	0.120348
17.500000	-0.705044	0.299119	0.122115
18.500000	0.555247	0.301830	0.123221
19.500000	1.725756	0.326750	0.133395
20.500000	2.466173	0.328209	0.133991
21.500000	2.592736	0.248560	0.101474
22.500000	2.195201	0.192509	0.078591
23.500000	1.606043	0.172882	0.070579
24.500000	1.028093	0.172456	0.070405
25.500000	0.582114	0.183050	0.074730
26.500000	0.266965	0.192891	0.078748
27.500000	0.069150	0.210763	0.086044
28.500000	-0.039343	0.203776	0.083191
29.500000	-0.083644	0.200662	0.081920
30.500000	-0.095138	0.185552	0.075751
31.500000	-0.074920	0.170036	0.069417
32.500000	-0.059658	0.152110	0.062099
33.500000	-0.031749	0.131328	0.053615
34.500000	-0.026063	0.120074	0.049020
35.500000	-0.017782	0.109351	0.044642
36.500000	-0.005708	0.108692	0.044374
37.500000	-0.002123	0.102091	0.041679
38.500000	0.002777	0.079996	0.032658
39.500000	-0.002424	0.072763	0.029705
40.500000	-0.001029	0.056389	0.023021
41.500000	-0.000354	0.040435	0.016508
42.500000	0.004192	0.024230	0.009892
43.500000	-0.002449	0.023323	0.009521
44.500000	0.003854	0.017749	0.007246
45.500000	0.003047	0.014127	0.005767
46.500000	-0.000160	0.025773	0.010522
47.500000	0.005527	0.035756	0.014597
48.500000	-0.007938	0.044177	0.018035
49.500000	-0.004690	0.050249	0.020514
50.500000	0.000763	0.052759	0.021539
51.500000	0.011130	0.054922	0.022422
52.500000	0.003979	0.051103	0.020863
53.500000	0.005619	0.053534	0.021855
54.500000	0.014763	0.057711	0.023561
55.500000	0.022229	0.073172	0.029873
56.500000	0.014641	0.077864	0.031788
57.500000	0.015710	0.076398	0.031189
58.500000	0.025928	0.083778	0.034202
59.500000	0.073283	0.115873	0.047305
60.500000	0.187009	0.203841	0.083218
61.500000	0.395747	0.423075	0.172719
62.500000	0.753714	0.774219	0.316074
63.500000	1.314559	1.236455	0.504781
64.500000	2.147151	1.840375	0.751330
65.500000	3.272721	2.503190	1.021923
66.500000	4.795685	3.291918	1.343920
67.500000	6.738501	4.205282	1.716799
68.500000	8.994191	5.000790	2.041564
69.500000	11.662689	5.879796	2.400417
70.500000	13.648529	5.336236	2.178509
71.500000	15.081285	3.770728	1.539393
72.500000	16.682752	1.997202	0.815354
73.500000	18.383263	0.173290	0.070745
74.500000	18.383263	0.173290	0.070745
75.500000	18.383263	0.173290	0.070745
